Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
258415003;Bx;Biopsiamaterjal;Biopsy sample (specimen);;1;28.04.2020;;;ELMÜ;1;"Biopsy (Material); kasutatakse ka patoloogia proovimaterjali tüübi määramiseks (histoloogia)"
2501000181105;FixBx;Fikseeritud biopsiamaterjal;Biopsy sample in tissue fixative (specimen);258415003;2;28.04.2020;;;ELMÜ;1;Fixed biopsy (Material)
122550002;FNA;Peennõelbiopsia materjal;Specimen obtained by fine needle aspiration procedure (specimen);;1;28.04.2020;;;ELMÜ;1;"Patoloogia proovimaterjali tüüp (tsütoloogia); Versioonis 6 muudetud veergudes nimetus ja pikk_nimetus: Peennõelbiopsia-> Peennõelbiopsia materjal"
2511000181107;Ef;Eksfoliatiivne materjal;Exfoliative cytologic material (specimen);;1;28.04.2020;;;ELMÜ;1;"Patoloogia proovimaterjali tüüp (tsütoloogia); Versioonis 6 muudetud veergudes kood ja lühinimetus: EF-> Ef"
373826004;Op;Operatsioonimaterjal;Surgical excision sample (specimen);;1;28.04.2020;;;ELMÜ;1;"Patoloogia proovimaterjali tüüp (histoloogia); Versioonis 6 muudetud veergudes kood ja lühinimetus: OP-> Op"
2521000181103;To;Hambajuurekanalimaterjal;Specimen from root canal (specimen);;1;28.04.2020;;;ELMÜ;1;Tooth (Material)
734379005;PP;Igemetaskumaterjal;Specimen from periodontal tissue (specimen);;1;28.04.2020;;;ELMÜ;1;Periodontal pockets material (Material)
258417006;Bone;Luumaterjal;Bone tissue sample (specimen);;1;28.04.2020;;;ELMÜ;1;Bone (Material)
258589002;Ln;Lümfisõlmematerjal;Lymph node sample (specimen);;1;28.04.2020;;;ELMÜ;1;Lymph node (Material)
439961009;Prth;Proteesi-/implantaadimaterjal;Implant submitted as specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Prothesis (Material)
119359002;Bm;Luuüdi;Bone marrow specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Bone marrow (Material)
119373006;AmnF;Amnionivedelik;Amniotic fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Amniotic fluid (Fluid)
258565009;CVS;Koorionimaterjal;Chorionic villi sample (specimen);;1;28.04.2020;;;ELMÜ;1;Chorion villi sample (Material)
119403008;Plac;Platsentamaterjal;Specimen from placenta (specimen);;1;28.04.2020;;;ELMÜ;1;Placenta (Material)
258454002;DiaF;Dialüüsivedelik;Dialysate specimen (specimen);;1;30.11.2023;;;ELMÜ;1;"Dialysis fluid (Fluid); Versioonis 15 asendab kehtetuks muutunud mõistet koodiga 119360007"
119360007;DiaF;Dialüüsivedelik;Dialysis fluid specimen (specimen);;1;28.04.2020;30.11.2023;;ELMÜ;0;"Dialysis fluid (Fluid); Versioonis 15 kehtetuks tunnistatud, seda asendab mõiste koodiga 258454002"
168139001;PrtF;Kõhuõõnevedelik;Peritoneal fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Peritoneal fluid (Fluid)
433861002;Si;Siinusepunktaat;Specimen from nasal sinus obtained by fine needle aspiration biopsy (specimen);;1;28.04.2020;;;ELMÜ;1;Sinus (Material)
309051001;Fx;Kehavedelik, täpsustamata;Body fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Fluid (Fluid)
119332005;SynF;Liigesevedelik;Synovial fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Synovial fluid (Fluid)
122571007;PrcF;Perikardivedelik;Pericardial fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Pericardial fluid (Fluid)
418564007;PlrF;Pleuravedelik;Pleural fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Pleural fluid (Fluid)
258479004;TisF;Koevedelik;Interstitial fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Tissue (Fluid)
119341000;Bile;Sapp;Bile specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Bile (Secretion)
119368000;Cyst;Tsüstivedelik;Specimen from cyst (specimen);;1;28.04.2020;;;ELMÜ;1;Cyst (Material)
258459007;GstF;Maomahl;Gastric fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Gastric juice (Fluid)
119340004;Me;Mekoonium;Meconium specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Meconium (Material)
119323008;Pus;Mäda;Pus specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Pus (Secretion)
119334006;Sp;Röga;Sputum specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Sputum (Secretion)
441903006;Br;Bronhiaspiraat;Specimen obtained by bronchial aspiration (specimen);;1;28.04.2020;;;ELMÜ;1;Bronchial aspirate (Material)
258607008;BalF;Bronhoalveolaarloputuse vedelik;Bronchoalveolar lavage fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Broncho-alveolar lavage (Fluid)
445447003;Tra;Trahheaaspiraat;Specimen from trachea obtained by aspiration (specimen);;1;28.04.2020;;;ELMÜ;1;Tracheal aspirate (Material)
258498002;Co;Konjunktiivikaabe;Conjunctival swab (specimen);;1;28.04.2020;;;ELMÜ;1;Conjunctiva (Secretion)
258599007;LensF;Läätsevedelik;Contact lens solution sample (specimen);;1;28.04.2020;;;ELMÜ;1;Lens fluid (Fluid)
119399004;Eye;Silmamaterjal;Specimen from eye (specimen);;1;28.04.2020;;;ELMÜ;1;Eye (Material)
258465007;LaF;Pisaravedelik;Lacrimal fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Lacrimal fluid (Fluid)
733056005;Ear;Kõrvaeritis;Fluid specimen from ear (specimen);;1;28.04.2020;;;ELMÜ;1;Ear (Secretion)
258466008;Em;Keskkõrvaeritis;Middle ear fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Ear, middle (Secretion)
732976006;Eo;Väliskõrvaeritis;Fluid specimen from external auditory canal (specimen);;1;28.04.2020;;;ELMÜ;1;Ear, outer (Secretion)
258603007;Resp;Hingamisteede materjal;Respiratory sample (specimen);;1;16.02.2021;;;ELMÜ;1;
445297001;Nose;Ninakaabe;Swab of internal nose (specimen);;1;28.04.2020;;;ELMÜ;1;Nose (Secretion)
258500001;Nph;Ninaneelukaabe;Nasopharyngeal swab (specimen);;1;28.04.2020;;;ELMÜ;1;Nasopharynx (Secretion)
258411007;NaPh;Ninaneeluaspiraat;Nasopharyngeal aspirate (specimen);;1;28.04.2020;;;ELMÜ;1;Nasopharyngeal aspirate (Material)
258529004;Th;Kurgukaabe;Throat swab (specimen);;1;28.04.2020;;;ELMÜ;1;Throat (Secretion)
258469001;ThW;Kurguloputusvedelik;Pharyngeal washings (specimen);;1;19.11.2020;;23.11.2020;ELMÜ;1;
418932006;Mo;Suulimaskestakaabe;Oral swab (specimen);;1;28.04.2020;;;ELMÜ;1;Mouth (Secretion)
119342007;Sal;Sülg;Saliva specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Saliva (Secretion)
258513007;Fos;Eesnahakaabe;Prepuce swab (specimen);;1;28.04.2020;;;ELMÜ;1;Foreskin (Secretion)
258470000;EPS;Eesnäärmesekreet;Prostatic fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Expressed prostatic secretions (Secretion)
258471001;prEPS;Eesnäärmesekreet, eesnäärme massaaži järel;Prostatic massage fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Expressed prostatic secretions (Secretion)
119347001;Sem;Sperma;Seminal fluid specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Semen (Secretion)
119348006;SemP;Seminaalplasma;Seminal plasma specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Seminal plasma (Fluid)
258530009;Um;Ureetrakaabe;Urethral swab (specimen);;1;28.04.2020;;;ELMÜ;1;Urethra material (Secretion)
258524009;Cx;Emakakaelakanalikaabe;Cervical swab (specimen);;1;28.04.2020;;;ELMÜ;1;Cervix (Secretion)
127479004;Ut;Emakaõõneeritis;Specimen from uterus (specimen);;1;28.04.2020;;;ELMÜ;1;Uterus (Secretion)
258520000;Vag;Tupekaabe;Vaginal swab (specimen);;1;28.04.2020;;;ELMÜ;1;Vagina (Secretion)
258508008;Gen;Välisgenitaalimaterjal;Genital swab (specimen);;1;28.04.2020;;;ELMÜ;1;Genitals (Material)
258482009;Blis;Villisisu;Vesicle fluid sample (specimen);;1;28.04.2020;;;ELMÜ;1;Blister (Secretion)
122575003;U;Uriin;Urine specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Urine (Urine)
258575007;fmU;Uriin, esmane hommikune;Early morning urine sample (specimen);;1;28.04.2020;;;ELMÜ;1;First morning urine (Urine)
698276005;fvU;Uriin, esmasjoa ;First stream urine sample (specimen);;1;28.04.2020;;;ELMÜ;1;Urine, first-voided (Urine)
122565001;catU;Uriin, kateetri ;Urinary catheter specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Urine, catheter (Urine)
446846006;icatU;Uriin, püsikateetri ;Urine specimen obtained via indwelling urinary catheter (specimen);;1;28.04.2020;;;ELMÜ;1;
258574006;cvU;Uriin, keskjoa ;Mid-stream urine sample (specimen);;1;28.04.2020;;;ELMÜ;1;Urine, clean-voided (Urine)
442173007;nU;Uriin, nefrostoomi ;Urine specimen from nephrostomy tube (specimen);;1;28.04.2020;;;ELMÜ;1;Urine, nephrostomy (Urine)
258576008;aspU;Uriin, põiepunktsiooni ;Suprapubic aspirate sample (specimen);;1;28.04.2020;;;ELMÜ;1;Urine, suprapubic aspirate (Urine)
276833005;dU;Uriin, ööpäevane ;24 hour urine sample (specimen);;1;28.04.2020;;;ELMÜ;1;Urine (24H) (Urine)
699287008;epiU;Uriin, epistsüstostoomi ;Urine specimen obtained via suprapubic indwelling urinary catheter (specimen);;1;28.04.2020;;;ELMÜ;1;
2531000181101;prU;Uriin, eesnäärme massaaži järel ;Prostatic massage urine specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Urine prostate (Urine)
258527002;An;Anaalkaabe;Anal swab (specimen);;1;28.04.2020;;;ELMÜ;1;Anal (Secretion)
258528007;Re;Rektaalkaabe;Rectal swab (specimen);;1;28.04.2020;;;ELMÜ;1;Rectal (Secretion)
119339001;St;Roe;Stool specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Stool (Material)
258503004;Skin;Nahakaabe;Skin swab (specimen);;1;28.04.2020;;;ELMÜ;1;Skin (Material)
119326000;Hair;Juuksed;Hair specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Hair (Material)
119327009;Nail;Küünekaabe;Nail specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Nail (Material)
122569007;Sw;Higi;Sweat specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Sweat (Fluid)
446676001;Mi;Rinnapiim;Expressed breast milk specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Breast milk (Material)
258436001;Umb;Nabaväädimaterjal;Umbilical cord tissue sample (specimen);;1;28.04.2020;;;ELMÜ;1;Umbilical material (Material)
430304001;XXX;Täpsustamata materjal;Specimen from unspecified body site (specimen);;1;28.04.2020;31.12.2022;;ELMÜ;0;Material unspecified (Material). Versioonis 12 kehtetuks tunnistatud
258566005;DNA;DNA;Deoxyribonucleic acid sample (specimen);;1;28.04.2020;;;ELMÜ;1;DNA
119303007;Is;Isolaat;Microbial isolate specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Isolate (Material)
710069003;Tick;Puuk;Tick specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Tick (Material)
119300005;Bcomp;Verekomponendid;Specimen from blood product (specimen);;1;28.04.2020;;;ELMÜ;1;Blood components (Blood)
119351004;RBC;Erütrotsüüt;Erythrocyte specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Erythrocyte (Erythrocyte)
2541000181108;BPU;Leukafereesi produkt;Leukopheresis product specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Blood Product Unit
119318008;H2O;Vesi;Water specimen (specimen);;1;28.04.2020;;;ELMÜ;1;Water (Material)
119350003;Calculus;Kivi, materjal;Calculus specimen (specimen);;1;16.02.2023;;;ELMÜ;1;
78081000181103;Crust;Nahakahjustuse koorik, materjal;Crust specimen (specimen);;1;30.05.2023;;;ELMÜ;1;
;;;;;;;;;;;
