Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;Vastavus varasemate koodidega
E370;sünnitusabi ja günekoloogia;sünnitusabi ja günekoloogia;sünnitusabi ja günekoloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E37 - sünnitusabi ja günekoloogia
E380;taastusravi;taastusravi;taastusravi;;0;10.01.2008;;14.10.2022;Terviseamet;1;"eriarsti eriala; eriala nimetus ""taastusravi ja füsiaatria"" jääb samaks varasematele taotlejatele, uutele eriala taotlejatele saab eriala nimetuseks ""taastusravi""";E64 - füsiaatria ja taastusravi
E390;torakaalkirurgia;torakaalkirurgia;torakaalkirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E25 - torakaalkirurgia
E400;töötervishoid;töötervishoid;töötervishoid;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E74 - töötervishoid
E410;uroloogia;uroloogia;uroloogia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E29 - uroloogia
E420;üldkirurgia;üldkirurgia;üldkirurgia;;0;10.01.2008;;;Terviseamet;1;eriarsti eriala;E30 - üldkirurgia
E430;hambaarst;hambaarst;hambaarst;;0;10.01.2008;;;Terviseamet;1;kutse;E55 - stomatoloogia
E440;suu-, näo- ja lõualuukirurgia;suu-, näo- ja lõualuukirurgia;suu-, näo- ja lõualuukirurgia;;0;10.01.2008;;01.07.2018;Terviseamet;1;"erihambaarsti eriala; eriarsti eriala";E22 - näo- lõualuukirurgia
E450;ortodontia;ortodontia;ortodontia;;0;10.01.2008;;;Terviseamet;1;erihambaarsti eriala;E55 - stomatoloogia
E460;restauratiivne hambaravi;restauratiivne hambaravi ;restauratiivne hambaravi ;;0;01.04.2009;;;Terviseamet;1;erihambaarsti eriala;E55 - stomatoloogia
E470;allergoloogia-immunoloogia;allergoloogia-immunoloogia;allergoloogia-immunoloogia;;0;01.01.2014;;;Terviseamet;1;eriarsti eriala;
E480;kardiokirurgia;kardiokirurgia;kardiokirurgia;;0;01.01.2014;;;Terviseamet;1;eriarsti eriala;
E490;vaskulaarkirurgia;vaskulaarkirurgia;vaskulaarkirurgia;;0;01.01.2014;;;Terviseamet;1;eriarsti eriala;
E500;meditsiinigeneetika;meditsiinigeneetika;meditsiinigeneetika;;0;01.04.2009;;;Terviseamet;1;eriarsti eriala;E17 - üldmeditsiin
E510;kohtuarstiteadus;kohtuarstiteadus;kohtuarstiteadus;;0;01.01.2014;;;Terviseamet;1;eriarsti eriala;
E600;arst;arst;arst;;0;10.01.2008;;;Terviseamet;1;kutse;E17 - üldmeditsiin
N100;intensiivõendus;intensiivõendus;intensiivõendus;;0;01.04.2009;;;Terviseamet;1;õendusabi eriala;
N110;anesteesia-intensiivraviõendus;anesteesia-intensiivraviõendus;anesteesia-intensiivraviõendus;;0;01.04.2009;;;Terviseamet;1;intensiivõenduse alaeriala;Õ15 - anesteesiaõde
N120;erakorralise meditsiini õendus;erakorralise meditsiini õendus;erakorralise meditsiini õendus;;0;01.04.2009;;;Terviseamet;1;intensiivõenduse alaeriala;Õ18 - kiirabiõde
N200;kliiniline õendus;kliiniline õendus;kliiniline õendus;;0;01.04.2009;;;Terviseamet;1;õendusabi eriala;
N210;diabeediõendus;diabeediõendus;diabeediõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;
N220;lasteõendus;lasteõendus;lasteõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;Õ03 - lasteõde
N230;nakkustõrjeõendus;nakkustõrjeõendus;nakkustõrjeõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;
N240;onkoloogiaõendus;onkoloogiaõendus;onkoloogiaõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;
N250;operatsiooniõendus;operatsiooniõendus;operatsiooniõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;
N260;pulmonoloogiaõendus;pulmonoloogiaõendus;pulmonoloogiaõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;
N270;radioloogiaõendus;radioloogiaõendus;radioloogiaõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;Õ22 - radioloogiaõde
N280;taastusraviõendus;taastusraviõendus;taastusraviõendus;;0;01.04.2009;;;Terviseamet;1;kliinilise õenduse alaeriala;Õ16 - füsiaatriaõde
N300;terviseõendus;terviseõendus;terviseõendus;;0;01.04.2009;;;Terviseamet;1;õendusabi eriala;
N310;kooliõendus;kooliõendus;kooliõendus;;0;01.04.2009;;;Terviseamet;1;terviseõenduse alaeriala;
N320;pereõendus;pereõendus;pereõendus;;0;01.04.2009;;;Terviseamet;1;terviseõenduse alaeriala;Õ20 - pereõde
N330;töötervishoiuõendus;töötervishoiuõendus;töötervishoiuõendus;;0;01.04.2009;;;Terviseamet;1;terviseõenduse alaeriala;Õ24 - töötervishoiuõde
N400;vaimse tervise õendus;vaimse tervise õendus;vaimse tervise õendus;;0;01.04.2009;;;Terviseamet;1;õendusabi eriala;
N410;psühhiaatriaõendus;psühhiaatriaõendus;psühhiaatriaõendus;;0;01.04.2009;;;Terviseamet;1;vaimse tervise õenduse alaeriala;Õ21 - psühhiaatriaõde
N500;õde;õde;õde;;0;01.04.2009;;;Terviseamet;1;kutse;Õ01 - õde
N600;ämmaemand;ämmaemand;ämmaemand;;0;01.04.2009;;;Terviseamet;1;kutse;Õ04 - ämmaemand
N700;retseptiõigusega õde;retseptiõigusega õde;retseptiõigusega õde;;0;23.12.2020;;;Terviseamet;1;retsepti väljakirjutamise õigusega õe eriala (kasutatakse ravimi väljakirjutamisel);
N800;retseptiõigusega eriõde;retseptiõigusega eriõde;retseptiõigusega eriõde;;0;14.10.2022;;;Terviseamet;1;kui õde taotleb omale eriala - terviseõendus, kliiniline õendus, vaimse tervise õendus või intensiivõendus, siis omistatakse neile automaatselt eriõe retseptiõigus (N800) ;
S100;arstiõppe üliõpilane;arstiõppe üliõpilane;arstiõppe üliõpilane;;0;19.05.2015;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S110;hambaarstiõppe üliõpilane;hambaarstiõppe üliõpilane;hambaarstiõppe üliõpilane;;0;19.05.2015;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S120;õeõppe üliõpilane;õeõppe üliõpilane;õeõppe üliõpilane;;0;19.05.2015;01.04.2022;;Terviseamet;0;"tervishoiutöötaja registreeringuta isikute eriala; tunnistatud 01.04.2022 kehtetuks, kuna ei ole enam kasutuses";
S130;ämmaemandusõppe üliõpilane;ämmaemandusõppe üliõpilane;ämmaemandusõppe üliõpilane;;0;19.05.2015;01.04.2022;;Terviseamet;0;"tervishoiutöötaja registreeringuta isikute eriala; tunnistatud 01.04.2022 kehtetuks, kuna ei ole enam kasutuses";
S140;kiirabitehnik;kiirabitehnik;kiirabitehnik;;0;19.05.2015;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S150;erakorralise meditsiini tehnik;erakorralise meditsiini tehnik;erakorralise meditsiini tehnik;;0;19.05.2015;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S160;füsioterapeut;füsioterapeut;füsioterapeut;;0;23.12.2020;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S170;tegevusterapeut ;tegevusterapeut ;tegevusterapeut ;;0;23.12.2020;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S180;logopeed;logopeed;logopeed;;0;23.12.2020;;29.09.2023;Terviseamet;1;"tervishoiutöötaja registreeringuta isikute eriala; alates 01.01.2023 muutunud nimetus (endine ""kliiniline logopeed"")";
S190;kliiniline psühholoog ;kliiniline psühholoog ;kliiniline psühholoog ;;0;23.12.2020;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S200;optometrist;optometrist;optometrist;;0;23.12.2020;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S210;radioloogiatehnik;radioloogiatehnik;radioloogiatehnik;;0;23.12.2020;;;Terviseamet;1;tervishoiutöötaja registreeringuta isikute eriala;
S220;arsti, hambaarsti, õe ja ämmaemanda tööpraktikal viibija;arsti, hambaarsti, õe ja ämmaemanda tööpraktikal viibija;arsti, hambaarsti, õe ja ämmaemanda tööpraktikal viibija;;0;01.09.2019;;;Terviseamet;1;isik, kes on omandanud kvalifikatsiooni väljaspool Euroopa Majanduspiirkonna liikmesriiki või Šveitsi;
E610;taastusravi spordimeditsiini lisapädevusega;taastusravi spordimeditsiini lisapädevusega;taastusravi spordimeditsiini lisapädevusega;;0;01.03.2016;;14.10.2022;Terviseamet;1;"taastusravi eriala lisapädevus; eriala nimetus ""füsiaatria ja taastusravi spordimeditsiini lisapädevusega"" jääb samaks varasematele taotlejatele, uutele eriala taotlejatele saab eriala nimetuseks ""taastusravi spordimeditsiini lisapädevusega""";
E620;laborimeditsiin kliinilise mikrobioloogia lisapädevusega;laborimeditsiin kliinilise mikrobioloogia lisapädevusega;laborimeditsiin kliinilise mikrobioloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;laborimeditsiini eriala lisapädevus;
E630;oftalmoloogia silmakirurgia lisapädevusega;oftalmoloogia silmakirurgia lisapädevusega;oftalmoloogia silmakirurgia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;oftalmoloogia eriala lisapädevus;
E640;sisehaigused allergoloogia lisapädevusega;sisehaigused allergoloogia lisapädevusega;sisehaigused allergoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;sisehaiguste eriala lisapädevus;
E650;sisehaigused kliinilise farmakoloogia lisapädevusega;sisehaigused kliinilise farmakoloogia lisapädevusega;sisehaigused kliinilise farmakoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;sisehaiguste eriala lisapädevus;
E660;sisehaigused geriaatria lisapädevusega;sisehaigused geriaatria lisapädevusega;sisehaigused geriaatria lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;sisehaiguste eriala lisapädevus;
E670;pediaatria allergoloogia lisapädevusega;pediaatria allergoloogia lisapädevusega;pediaatria allergoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E680;pediaatria endokrinoloogia lisapädevusega;pediaatria endokrinoloogia lisapädevusega;pediaatria endokrinoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E690;pediaatria gastroenteroloogia lisapädevusega;pediaatria gastroenteroloogia lisapädevusega;pediaatria gastroenteroloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E700;pediaatria hematoloogia-onkoloogia lisapädevusega;pediaatria hematoloogia-onkoloogia lisapädevusega;pediaatria hematoloogia-onkoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E710;pediaatria infektsioonhaiguste lisapädevusega;pediaatria infektsioonhaiguste lisapädevusega;pediaatria infektsioonhaiguste lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E720;pediaatria kardioloogia lisapädevusega;pediaatria kardioloogia lisapädevusega;pediaatria kardioloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E730;pediaatria nefroloogia lisapädevusega;pediaatria nefroloogia lisapädevusega;pediaatria nefroloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E740;pediaatria neonatoloogia lisapädevusega;pediaatria neonatoloogia lisapädevusega;pediaatria neonatoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E750;pediaatria neuroloogia lisapädevusega;pediaatria neuroloogia lisapädevusega;pediaatria neuroloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E760;pediaatria reumatoloogia lisapädevusega;pediaatria reumatoloogia lisapädevusega;pediaatria reumatoloogia lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;pediaatria eriala lisapädevus;
E770;psühhiaatria laste- ja noorukitepsühhiaatria lisapädevusega;psühhiaatria laste- ja noorukitepsühhiaatria lisapädevusega;psühhiaatria laste- ja noorukitepsühhiaatria lisapädevusega;;0;01.03.2016;;01.04.2022;Terviseamet;1;psühhiaatria eriala lisapädevus;
E780;uroloogia androloogia lisapädevusega;uroloogia androloogia lisapädevusega;uroloogia androloogia lisapädevusega;;0;01.07.2018;;01.04.2022;Terviseamet;1;uroloogia eriala lisapädevus;
E790;hematoloogia transfusioloogia lisapädevusega;hematoloogia transfusioloogia lisapädevusega;hematoloogia transfusioloogia lisapädevusega;;0;24.05.2021;;;Terviseamet;1;hematoloogia eriala lisapädevus;
E800;radioloogia nukleaarmeditsiini lisapädevusega;radioloogia nukleaarmeditsiini lisapädevusega;radioloogia nukleaarmeditsiini lisapädevusega;;0;14.10.2022;;;Terviseamet;1;radioloogia eriala lisapädevus;
