Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;
A18;NIPT katsutite komplekt;NIPT katsutite komplekt;NIPT katsutite komplekt;A;1;15.10.2018;;;Eesti Laborimeditsiini Ühing;1;Loote rakuvaba DNA eraldamiseks NIPT analüüsiks;;
A19;CPT-katsuti;CPT-katsuti;Vererakkude eraldamise (CPT) katsuti;A;1;12.05.2020;;18.12.2023;Eesti Laborimeditsiini Ühing;1;Must-sinine, vererakkude eraldamiseks CPT (cell preparation tube);;
A20;RNA stabilisaatoriga katsuti;RNA stabilisaatoriga katsuti;RNA stabilisaatoriga katsuti;A;1;12.05.2020;;;Eesti Laborimeditsiini Ühing;1;Sinine, RNA eraldamiseks;;
A21;TromboExact katsuti;TromboExact katsuti;TromboExact katsuti;A;1;31.05.2021;;;Eesti Laborimeditsiini Ühing;1;Tumepunane, magneesiumsulfaadiga katsuti pseudotrombotsütopeenia hindamiseks;;
A22;cfDNA katsuti;Rakuvaba DNA katsuti;Rakuvaba DNA katsuti;A;1;18.12.2023;;;Eesti Laborimeditsiini Ühing;1;Must-kollane, EDTA lisandiga rakuvaba DNA eraldamiseks Cell-free DNA BCT (blood collection tube);;
B;Mikrokatsutid;Mikrokatsutid;Mikrokatsutid;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
B1;CAT mikrokatsuti;CAT mikrokatsuti;Hüübimisaktivaatoriga mikrokatsuti;B;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Pruun/valge;;
B2;K2E/K3E-mikrokatsuti;K2E/K3E-mikrokatsuti;Etüleendiamiintetraatsetaadiga mikrokatsuti;B;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Roosa/lilla/punane;;
B3;Glükolüüsi inhibiitoriga mikrokatsuti;Glükolüüsi inhibiitoriga mikrokatsuti;Glükolüüsi inhibiitoriga mikrokatsuti;B;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Helekollane;;
B4;4NC-mikrokatsuti;4NC-mikrokatsuti;Naatriumtsitraadiga mikrokatsuti (1:4);B;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Lilla;;
B5;LH-mikrokatsuti;LH-mikrokatsuti;Liitiumhepariiniga mikrokatsuti;B;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;;;
C;Muud katsutid;Muud katsutid;Muud katsutid;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
C1;Steriilne lisandita katsuti;Steriilne lisandita katsuti;Steriilne lisandita katsuti;C;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;"Vaakumiga või vaakumita; liikvori MB uuringuks; uriini jt materjalide NAT uuringuks";;
C2;Uriinikatsuti ;Uriinikatsuti ;Uriinikatsuti ;C;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Vaakumiga v vaakumita, ilma lisandita, steriilne;;
C7;Konservandiga uriinikatsuti;Konservandiga uriinikatsuti;Konservandiga uriinikatsuti;C;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Oliivrohelise korgiga steriilne vaakumiga uriinikatsuti mikrobioloogilisteks uuringuteks, konservant boorhape;;
C4;Süljekatsuti;Süljekatsuti;Süljekatsuti;C;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
C6;TransFix/EDTA-katsuti;TransFix/EDTA-katsuti;TransFix/EDTA-katsuti;C;1;05.10.2015;;;Eesti Laborimeditsiini Ühing;1;Liikvorile, voolutsütomeetria jaoks;;
C5;Sekundaarne katsuti;Sekundaarne katsuti;Sekundaarne katsuti;C;1;29.03.2018;;;Eesti Laborimeditsiini Ühing;1;Materjali ümbertõstmiseks, säilitamise, transpordi vms. eesmärgil ;;
C3;Koonuspõhjaga katsuti;Koonuspõhjaga katsuti;Koonuspõhjaga katsuti;C;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
D;Süstlad, kapilaarid;Süstlad, kapilaarid;Süstlad, kapilaarid;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
D1;LH-süstal;LH-süstal;Liitiumhepariiniga süstal;D;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
D2;LH-kapillaar;LH-kapillaar;Liitiumhepariiniga kapillaar;D;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
D3;Steriilne süstal;Steriilne süstal;Steriilne süstal;D;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Steriilne ühekordne süstal mikrobiloogiliste uuringute materjalide jaoks;;
E;Muud proovinõud;Muud proovinõud;Muud proovinõud;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
E1;Roojatops;Roojatops;Roojatops;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Lusikaga;;
E2;Roojatops CO2-ga;Roojatops CO2-ga;Roojatops süsihappegaasiga;E;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Lusikaga;;
E14;Roojatops puhvriga;Roojatops puhvriga;Roojatops puhvriga;E;1;06.06.2016;;;Eesti Laborimeditsiini Ühing;1;Peitvere sõeluuringu tarbeks;;
E15;Roojatops formaliiniga;Roojatops formaliiniga;Formaliiniga roojatops;E;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Rooja mikroskoopiaks;;
E3;Proovitops;Proovitops;Proovitops;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;120 mL, nii uriini, sperma kui muu jaoks, nii vaakumkatsutiga ühilduv kui tavaline;;
E4;Steriilne proovitops;Steriilne proovitops;Steriilne proovitops;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;MB uuringud, nii uriini, sperma, röga jms.;;
E18;Proovitops küüne-, nahakaapele;Proovitops küüne-, nahakaapele;Proovitops küüne-, nahakaapele;E;1;20.09.2018;;;Eesti Laborimeditsiini Ühing;1;Spetsiaalne madal ja lai proovitops dermatofüütide uuringuteks naha- ja küünekaapest.;;
E12;Proovitops (III ohuaste);Proovitops (III ohuaste);Proovitops (III ohuaste);E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Mükobakterioloogilised uuringud, peavad liikuma alati eraldi märgistatud konteineris;;
E10;Cobas Cell Media proovitops;Cobas Cell Media proovitops;Cobas Cell Media proovitops;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Cobas süsteemi proovinõu, HPV;;
E13;Cobas PCR uriini proovivõtukomplekt;Cobas PCR uriini proovivõtukomplekt;Cobas PCR uriini proovivõtukomplekt;E;1;05.10.2015;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Cobas süsteemi proovinõu, CT, NG;;
E19;ThinPrep proovitops;ThinPrep proovitops;ThinPrep proovitops;E;1;09.04.2019;;30.11.2020;Eesti Laborimeditsiini Ühing;1;Spetsiifiline proovitops NAT ja günekotsütoloogiliste analüüside tarbeks;;
E5;Uriinikogumisnõu;Uriinikogumisnõu;Uriinikogumisnõu;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Ööpäevase uriini tarbeks;;
E6;Prooviümbrik;Prooviümbrik;Prooviümbrik;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Nahaseentele;;
E11;Filterpaber;Filterpaber;Filterpaber;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Vereplekkidele;;
E7;Alusklaas;Alusklaas;Alusklaas;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
E8;Eppendorfi katsuti;Eppendorfi katsuti;Eppendorfi katsuti;E;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
E17;Eppendorfi katsuti puhvriga;Eppendorfi katsuti puhvriga;Eppendorfi katsuti puhvriga;E;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Mikroobitüvede saatmiseks ;;
E16;Quantiferoni komplekt;Quantiferoni komplekt;Quantiferoni komplekt;E;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;;;
E20;Steriilne topelt pakendatud proovinõu;Proteesi/implantaadi proovinõu;Proteesi/implantaadi proovinõu;E;1;25.11.2019;;;Eesti Laborimeditsiini Ühing;1;Eemaldatud proteeside/implantaatide proovinõu, mis on steriliseeritud spetsiaalsel meetodil;;
E21;BD SurePath proovitops;BD SurePath proovitops;BD SurePath proovitops;E;1;30.11.2020;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline proovitops NAT ja günekotsütoloogiliste analüüside tarbeks;;
F;Tampooniga katsutid;Tampooniga katsutid;Tampooniga katsutid;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
F3;Steriilne tampooniga katsuti;Steriilne tampooniga katsuti;Steriilne tampooniga katsuti;F;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;NAT analüüsid;;
F12;Steriilne kaksiktampooniga katsuti;Steriilne kaksiktampooniga katsuti;Steriilne kaksiktampooniga katsuti;F;1;15.10.2018;;;Eesti Laborimeditsiini Ühing;1;GBS PCR uuringuteks;;
F4;Steriilne glütseroolitampooniga katsuti;Steriilne glütseroolitampooniga katsuti;Steriilne glütseroolitampooniga katsuti;F;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;E. vermicularis, anaalkaabe;;
F8;Steriilne FLOCSwab tampooniga katsuti;Steriilne FLOCSwab tampooniga katsuti ;Steriilne FLOCSwab tampooniga katsuti;F;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Ilma transportsöötmeta katsuti, FLOQSwab eeskätt viiruste uuringuks NAAT meetodil ja nõutav mariPOC seadme korral;;
F9;Suu limaskesta kaape tampooniga katsuti ;Suu limaskesta kaape tampooniga katsuti ;Suu limaskesta kaape tampooniga katsuti ;F;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;DNA uuringuteks, näiteks suu limaskestalt proovi võtmiseks;;
F1;ProbeTeci proovivõtukomplekt;ProbeTeci proovivõtukomplekt;ProbeTeci proovivõtukomplekt;F;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline ProbeTec süsteemi proovinõu, CT, NG;;
F2;GenProbe proovivõtukomplekt;GenProbe proovivõtukomplekt;GenProbe proovivõtukomplekt;F;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Spetsiifiline GenProbe`i süsteemi proovinõu, CT, NG;;
F5;Cobas PCR proovivõtukomplekt;Cobas PCR proovivõtukomplekt;Cobas PCR proovivõtukomplekt;F;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Cobas süsteemi proovinõu, CT, NG;;
F6;Xpert PCR proovivõtukomplekt;Xpert PCR proovivõtukomplekt;Xpert PCR proovivõtukomplekt;F;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;C trachomatis , N.gonorrhoeae DNA uuringuteks;;
F7;Abbott PCR proovivõtukomplekt;Abbott PCR proovivõtukomplekt;Abbott PCR proovivõtukomplekt;F;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;C trachomatis,N.gonorrhoeae DNA uuringuteks;;
F10;UTM-katsuti tampooniga;UTM-katsuti tampooniga;Universaalse transpordisöötmega katsuti tampooniga;F;1;20.11.2017;;;Eesti Laborimeditsiini Ühing;1;Viiruste NAT uuringuteks Genexpert jt. süsteemidega ;;
F11;eNAT-katsuti tampooniga;eNAT-katsuti tampooniga;Nukleiinhapete transpordisöötmega katsuti tampooniga;F;1;20.11.2017;;;Eesti Laborimeditsiini Ühing;1;NAT uuringuteks;;
F13;Alinity m multi-Collect PCR proovivõtukomplekt;Alinity m multi-Collect PCR proovivõtukomplekt;Alinity m multi-Collect PCR proovivõtukomplekt;F;1;17.06.2020;;;Eesti Laborimeditsiini Ühing;1;"Spetsiifiline Alinity m süsteemi proovinõu, CT, NG, MG, TV; erinevatest proovimaterjalidest";;
F14;Alinity m Cervi-Collect PCR proovivõtukomplekt;Alinity m Cervi-Collect PCR proovivõtukomplekt;Alinity m Cervi-Collect PCR proovivõtukomplekt;F;1;17.06.2020;;;Eesti Laborimeditsiini Ühing;1;"Spetsiifiline Alinity m süsteemi proovinõu, HPV; emakakaelakaapest";;
F15;Kodune proovivõtukomplekt Qvintip;Kodune proovivõtukomplekt Qvintip;Kodune proovivõtukomplekt Qvintip;F;1;30.07.2020;;;Eesti Laborimeditsiini Ühing;1;;;
F16;Kodune proovivõtukomplekt Evalyn Brush;Kodune proovivõtukomplekt Evalyn Brush;Kodune proovivõtukomplekt Evalyn Brush;F;1;30.07.2020;;;Eesti Laborimeditsiini Ühing;1;;;
G;Transpordisöötmega proovinõud;Transpordisöötmega proovinõud;Transpordisöötmega proovinõud;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
G12;Transpordisöötmega katsuti;Transpordisöötmega katsuti;Transpordisöötmega katsuti;G;1;05.10.2015;;;Eesti Laborimeditsiini Ühing;1;Kõik MB külvid;;
G2;Tioglükolaadipuljongiga katsuti;Tioglükolaadipuljongiga katsuti;Tioglükolaadipuljongiga katsuti;G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Rikastussööde (silmamat, koetükid);;
G3;Madal transpordisöötmega katsuti;Madal transpordisöötmega katsuti;Madal transpordisöötmega katsuti;G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Koetükid, MB külvid;;
G10;Aeroobne Brucella söötmega katsuti;Aeroobne Brucella söötmega katsuti;Aeroobne Brucella söötmega katsuti;G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
G5;Aeroobne transpordisöötmega katsuti (söega);Aeroobne transpordisöötmega katsuti (söega);Aeroobne transpordisöötmega katsuti (söega);G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
G7;Proovitops MYC/URE transpordisöötmega;Proovitops MYC/URE transpordisöötmega;Proovitops MYC/URE transpordisöötmega;G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
G9;Proovitops läätsevedelikuga;Läätsetops;Läätsetops;G;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Läätsevedelik;;
G13;UTM-katsuti;UTM-katsuti;Universaalse transpordisöötmega katsuti;G;1;16.02.2017;20.11.2017;;Eesti Laborimeditsiini Ühing;0;NAT jt uuriguteks (gripi-, RS-viirused). Määratud kehtetuks, kuna UTM-katsutit ilma tampoonita ei kasutata.;;
G14;Amies vedela transpordisöötmega katsuti (peene tampooniga);Amies vedela transpordisöötmega katsuti (peene tampooniga);Amies vedela transpordisöötmega katsuti (peene tampooniga);G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;E-swab tüüpi transpordisüsteemid mikrobioloogiliseks külviks (aeroobid ja anaeroobid) ja NAT uuringuks, peene tampooniga, näiteks ureetra ja ninaneelu materjalide võtmiseks;;
G15;Amies vedela transpordisöötmega katsuti (jämeda tampooniga);Amies vedela transpordisöötmega katsuti (jämeda tampooniga);Amies vedela transpordisöötmega katsuti (jämeda tampooniga);G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;E-swab tüüpi transpordisüsteemid mikrobioloogiliseks külviks (aeroobid ja anaeroobid) ja NAT uuringuks, jämeda tampooniga näiteks kurgukaabet ja haavaeritiste võtmiseks;;
G16;Amies geeltranspordisöötmega katsuti (peene tampooniga);Amies geeltranspordisöötmega katsuti (peene tampooniga);Amies geeltranspordisöötmega katsuti (peene tampooniga);G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Transpordisüsteemid mikrobioloogiliseks külviks (aeroobid ja anaeroobid), peene tampooniga, näiteks ureetra ja ninaneelu materjalide võtmiseks;;
G17;Amies geeltranspordisöötmega katsuti (jämeda tampooniga);Amies geeltranspordisöötmega katsuti (jämeda tampooniga);Amies geeltranspordisöötmega katsuti (jämeda tampooniga);G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Transpordisüsteemid mikrobioloogiliseks külviks (aeroobid ja anaeroobid), jämeda tampooniga, näiteks kurgukaape ja haavaeritiste võtmiseks;;
G18;Amies geeltranspordisöötmega proovitops (kummikorgiga);Amies geeltranspordisöötmega proovitops (kummikorgiga);Amies geeltranspordisöötmega proovitops (kummikorgiga);G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Portagerm tüüpi transpordisöötmega proovitops mikrobioloogiliseks külviks (aeroobid ja anaeroobid), kummikorgiga, ettenähtud süstlaga võetud punktaatide saatmiseks (süstides materjali läbi kummikorgi proovitopsi) ;;
G19;Cary Blair geeltranspordisöötmega katsuti ;Cary Blair geeltranspordisöötmega katsuti ;Cary Blair geeltranspordisöötmega katsuti ;G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Rooja ja anaalkaape proovidele mikrobioloogiliseks külviks;;
G21;Cary Blair vedela transpordisöötmega katsuti;Cary Blair vedela transpordisöötmega katsuti;Cary Blair vedela transpordisöötmega katsuti;G;1;14.05.2019;;;Eesti Laborimeditsiini Ühing;1;Rooja ja anaalkaape proovidele uuringuteks (külv, NAAT, antigeenitestid);;
G20;Transystem M40 geeltranspordisöötmega katsuti;Transystem M40 geeltranspordisöötmega katsuti ;Transystem M40 geeltranspordisöötmega katsuti ;G;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Transpordisüsteemid mikrobioloogiliseks külviks (aeroobid ja anaeroobid);;
H;Külvisöötmega proovinõud ;Külvisöötmega proovinõud ;Külvisöötmega proovinõud ;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
H2;Proovitops Uriculti söötmega;Proovitops Uriculti söötmega;Proovitops Uriculti söötmega;H;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
H3;Proovitops Vagiculti söötmega;Proovitops Vagiculti söötmega;Proovitops Vagiculti söötmega;H;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
H4;Proovitops Gonoculti söötmega;Proovitops Gonoculti söötmega;Proovitops Gonoculti söötmega;H;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
H5;Proovitops Mycoline söötmega;Proovitops Mycoline söötmega;Proovitops Mycoline söötmega;H;1;01.07.2014;;17.02.2018;Eesti Laborimeditsiini Ühing;1;;;
I;Verekülvisüsteemide proovinõud;Verekülvisüsteemide proovinõud;Verekülvisüsteemide proovinõud;;0;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;;;
I1;Bactec AER pudel;Bactec AER pudel;Bactec AER pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Bactec süsteemi proovinõu;;
I2;Bactec AN pudel;Bactec AN pudel;Bactec AN pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Bactec süsteemi proovinõu;;
I3;Bactec MYC pudel;Bactec MYC pudel;Bactec MYC pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Bactec süsteemi proovinõu;;
I4;Bactec PED pudel;Bactec PED pudel;Bactec PED pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Bactec süsteemi proovinõu;;
I8;Bactec Myco/F-Lytici pudel;Bactec Myco/F-Lytici pudel;Bactec Myco/F-Lytici pudel;I;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Bactec süsteemi proovinõu;;
I5;BacT/ALERT FA pudel;BacT/ALERT FA pudel;BacT/ALERT FA pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline BacT/ALERT süsteemi proovinõu;;
I6;BacT/ALERT FN pudel;BacT/ALERT FN pudel;BacT/ALERT FN pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline BacT/ALERT süsteemi proovinõu;;
I7;BacT/ALERT PF pudel;BacT/ALERT PF pudel;BacT/ALERT PF pudel;I;1;01.07.2014;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline BacT/ALERT süsteemi proovinõu;;
I9;Oxoid Signal pudel;Oxoid Signal pudel;Oxoid Signal pudel;I;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;Spetsiifiline Oxoid süsteemi proovinõu;;
J;Koematerjalide proovinõud;Koematerjalide proovinõud;Koematerjalide proovinõud;;0;01.07.2014;;15.02.2023;Eesti Patoloogide Selts;1;Versioonis 17 muudetud nimetust: Fiksatsiooni lahusega proovinõud -> Koematerjalide proovinõud;;
J1;10% formaliiniga proovinõu;10% formaliiniga proovinõu;10% formaliiniga proovinõu;J;1;01.07.2014;;16.02.2017;Eesti Patoloogide Selts;1;;;
J2;Erifiksaatoriga proovinõu;Erifiksaatoriga proovinõu;Erifiksaatoriga proovinõu;J;1;01.07.2014;;17.12.2019;Eesti Patoloogide Selts;1;Parandatud nimetust: Erifiksatooriga proovinõu-> Erifiksaatoriga proovinõu;;
J3;Füsiloogilise lahusega proovinõu;Füsiloogilise lahusega proovinõu;Füsiloogilise lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J4;Zenkeri lahusega proovinõu;Zenkeri lahusega proovinõu;Zenkeri lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J5;Micheli lahusega proovinõu;Micheli lahusega proovinõu;Micheli lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J6;Bouini lahusega proovinõu;Bouini lahusega proovinõu;Bouini lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J7;CytoRich Red lahusega proovinõu;CytoRich Red lahusega proovinõu;CytoRich Red lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J8;CytoRich Blue lahusega proovinõu;CytoRich Blue lahusega proovinõu;CytoRich Blue lahusega proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J9;Fiksaatorita proovinõu;Fiksaatorita proovinõu;Fiksaatorita proovinõu;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
J10;Koekassett;Koekassett;Koekassett;J;1;15.02.2023;;;Eesti Patoloogide Selts;1;;;
K;Ilma proovinõuta;Ilma proovinõuta;Ilma proovinõuta;;0;06.06.2016;;;Eesti Laborimeditsiini Ühing;1;;;
K1;Ilma proovinõuta;Ilma proovinõuta;Ilma proovinõuta;K;1;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;;;
L;Keskkonnakülvide proovinõud;Keskkonnakülvide proovinõud;Keskkonnakülvide proovinõud;;0;16.02.2017;;;Eesti Laborimeditsiini Ühing;1;;;
L1;Rodaci Petri tass;Rodaci Petri tass;Rodaci Petri tass;L;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
L2;Petri tass söötmega (veriagar);Petri tass söötmega (veriagar);Petri tass söötmega (veriagar);L;1;05.10.2015;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
L3;Petri tass söötmega (Sabouraud);Petri tass söötmega (Sabouraud);Petri tass söötmega (Sabouraud);L;1;05.10.2015;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
L4;Proovitops Hygiculti söötmega;Proovitops Hygiculti söötmega;Proovitops Hygiculti söötmega;L;1;05.10.2015;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
L5;Autoklaavi bioloogilise kontrolli ampull testkultuuriga;Autoklaavi bioloogilise kontrolli ampull testkultuuriga;Autoklaavi bioloogilise kontrolli ampull testkultuuriga;L;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
L6;Autoklaavi bioloogilise kontrolli tablett testkultuuriga;Autoklaavi bioloogilise kontrolli tablett testkultuuriga;Autoklaavi bioloogilise kontrolli tablett testkultuuriga;L;1;01.07.2014;;16.02.2017;Eesti Laborimeditsiini Ühing;1;Keskkonnauuuringud;;
