Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus
308906005;;Korduv pneumoonia täiskasvanutel või noorukitel (?13a);Secondary bacterial pneumonia (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713525001 Recurrent bacterial pneumonia (disorder)
713525001;;Korduv pneumoonia täiskasvanutel või noorukitel (?13a);Recurrent bacterial pneumonia (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 308906005
421403008;;Krüptokokoos, kopsuväline;Cryptococcosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
421792005;;Krüptosporidioos, intestinaalne diarröaga kulgev, >1 kuu kestev;Cryptosporidiosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713845004 Infection caused by Cryptosporidium co-occurrent with human immunodeficiency virus infection (disorder)
713845004;;Krüptosporidioos, intestinaalne diarröaga kulgev, >1 kuu kestev;Infection caused by Cryptosporidium co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 421792005
422003001;;Kurtumussündroom, HIV-nakkuse poolt põhjustatud;Cachexia associated with acquired immunodeficiency syndrome (finding);;;01.01.2011;;01.08.2019;Terviseamet;1;
414628006;;Lümfoomid, täpsustamata;Lymphoid neoplasm (morphologic abnormality);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 118600007 Malignant lymphoma (disorder)
118600007;;Lümfoomid, täpsustamata;Malignant lymphoma (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 414628006
240413000;;Muud liiki või identifitseerimata mükobakternakkused, dissemineerunud või kopsuväline;Disseminated atypical mycobacterial infection (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 733835007 Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection (disorder)
733835007;;Muud liiki või identifitseerimata mükobakternakkused, dissemineerunud või kopsuväline;Extrapulmonary tuberculosis co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 240413000
424536008;;Mycobacterium kansasii etioloogiaga dissemineerunud või kopsuväline nakkus;Disseminated Mycobacterium kansasii infection (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks seoses väärtuse eemaldamisega WHO alusklassifikaatorist
371685005;;Mycobacterium avium kompleksi etioloogiaga dissemineerunud või kopsuväline nakkus;Infection caused by Mycobacterium avium (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 371687002 Disseminated infection caused by Mycobacterium avium-intracellulare group (disorder)
371687002;;Mycobacterium avium kompleksi etioloogiaga dissemineerunud või kopsuväline nakkus;Disseminated infection caused by Mycobacterium avium-intracellulare group (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 371685005
421571007;;Mycobacterium tuberculosis etioloogiaga kopsutuberkuloos täiskasvanul või noorukil (?13a);Tuberculosis associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
61274003;;Oportunistlikud nakkused, täpsustamata;Opportunistic infectious disease (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
415125002;;Pneumocystis jirovecii pneumoonia;Pneumocystosis jirovecii pneumonia (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
420554003;;Progresseeruv multifokaalne leukoentsefalopaatia;Progressive multifocal leukoencephalopathy associated with acquired immunodeficiency syndrome (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
20639004;;Söögitoru kandidiaas;Candidiasis of the esophagus (disorder);;;01.01.2011;;01.08.2019;Terviseamet;1;
186718002;;Tsütomegaloviirushaigus (v.a. maksa, põrna või lümfisõlmede) >1 kuu vanusel patsiendil;Human immunodeficiency virus disease resulting in cytomegaloviral disease (disorder);;;01.01.2011;01.08.2019;;Terviseamet;0;Versioonis 2 tunnistatud kehtetuks, seda asendab 713722001 Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection (disorder)
713722001;;Tsütomegaloviirushaigus (v.a. maksa, põrna või lümfisõlmede) >1 kuu vanusel patsiendil;Infection caused by Cytomegalovirus co-occurrent with human immunodeficiency virus infection (disorder);;;01.08.2019;;;Terviseamet;1;Versioonis 2 lisatud. Asendab kehtetuks tunnistatud väärtust 421792005
;;;;;;;;;;;
