Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
37299003;;Kolmerattaline jalgratas;Tricycle, device (physical object);183135000;1;16.05.2019;;;1;
705413009;;Siirdumist toetav vahend;Transfer/turning assistive device (physical object);;0;16.05.2019;;30.11.2022;1;Muudetud nimetust Siirdumist toetav -> Siirdumist toetav vahend
706112002;;Invatõstuk;Patient lifting system (physical object);705413009;1;16.05.2019;;;1;
422915004;;Vooditrapets;Overbed trapeze device (physical object);705413009;1;16.05.2019;;;1;
469883001;;Tõsterihm;Manual patient lifting belt/harness (physical object);705413009;1;16.05.2019;;;1;
462599001;;Libistamislaud;Patient transfer sliding board (physical object);705413009;1;16.05.2019;;;1;
462487005;;Pööramisplaat;Patient transfer turntable (physical object);705413009;1;16.05.2019;;;1;
462366004;;Libistamislina;Patient transfer sliding mat (physical object);705413009;1;16.05.2019;;;1;
705383004;;Söömist või joomist toetav vahend;Eating/Drinking assistive device (physical object);;0;16.05.2019;;30.11.2022;1;Muudetud nimetust Söömist või joomist toetav -> Söömist või joomist toetav vahend
464653006;;Kohandatud tass;Assistive drinking cup (physical object);705383004;1;16.05.2019;;;1;
464180003;;Kohandatud söögiriistad;Assistive cutlery (physical object);705383004;1;16.05.2019;;;1;
464539002;;Kohandatud sööginõu;Assistive dining dish (physical object);705383004;1;16.05.2019;;;1;
224898003;;Ortoos;Orthotic device (physical object);;0;16.05.2019;;;1;
469271005;;Nimme ortoos;Lumbar spine orthosis (physical object);224898003;1;16.05.2019;;;1;
774005004;;Rindkere ortoos;Thoracic cage orthosis (physical object);224898003;1;16.05.2019;;;1;
276180004;;Kaela ortoos;Head/neck appliance (physical object);224898003;1;16.05.2019;;;1;
468877006;;Küünarliigese ortoos;Elbow orthosis (physical object);224898003;1;16.05.2019;;;1;
466215009;;Randmeliigese ortoos;Wrist orthosis (physical object);224898003;1;16.05.2019;;;1;
466078009;;Õlaliigese ortoos;Shoulder orthosis (physical object);224898003;1;16.05.2019;;;1;
462744008;;Labakäe ortoos;Hand orthosis (physical object);224898003;1;16.05.2019;;;1;
470732004;;Puusaliigese ortoos;Hip orthosis (physical object);224898003;1;16.05.2019;;;1;
470672002;;Põlveliigese ortoos;Knee orthosis (physical object);224898003;1;16.05.2019;;;1;
469252008;;Labajala ortoos;Foot orthosis, post-treatment (physical object);224898003;1;16.05.2019;;;1;
462505002;;Hüppeliigese ortoos;Ankle joint orthosis (physical object);224898003;1;16.05.2019;;;1;
182587004;;Kehaasendit toetav vahend;Body support (physical object);;0;16.05.2019;;30.11.2022;1;Muudetud nimetust Kehaasendit toetav -> Kehaasendit toetav vahend
705401004;;Funktsionaalne voodi;Assistive bed (physical object);182587004;1;16.05.2019;;;1;
469356008;;Lamatisevastane madrats;Alternating-pressure bed mattress overlay system (physical object);182587004;1;16.05.2019;;;1;
469268002;;Lamatisevastane padi;Alternating-pressure chair cushion, reusable (physical object);182587004;1;16.05.2019;30.11.2021;;0;Tunnistatud kehtetuks, seda asendab: 469877004
469877004;;Lamatisevastane padi;Alternating-pressure chair cushion system (physical object);182587004;1;30.11.2021;;;1;Asendab kehtetuks tunnistatud väärtust: 469268002 
466310001;;Asendipadi;Wedge cushion (physical object);182587004;1;16.05.2019;;;1;
74964007;;Muu, täpsustage;Other (qualifier value);;0;16.05.2019;30.11.2021;;0;Tunnistatud kehtetuks, seda asendab: 3611000181101
3611000181101;;Muu seade;Other device (physical object);;0;30.11.2021;;;1;Asendab kehtetuks tunnistatud väärtust: 74964007
