Kood;Lühinimetus;Nimetus;Pikk_nimetus (SNOMED CT FSN);Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;JSV kood VSR-i jaoks
76376003;;Adenomüoos;Endometriosis of uterus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
51465000;;Adenoneuroendokriinne kartsinoom (MANEC);Composite carcinoid (morphologic abnormality);;0;19.12.2016;28.04.2020;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 785766008 Mixed neuroendocrine-non neuroendocrine neoplasm (morphologic abnormality);4- vähk
32048006;;Adenoom;Adenoma, no subtype (morphologic abnormality);;0;19.12.2016;31.05.2022;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1187375007 Adenoma (morphologic abnormality);
57597008;;Adenoos;Adenosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
31470003;;Adenosarkoom;Adenosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
59367005;;Adenoskvamoosne kartsinoom;Adenosquamous carcinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
74871001;;Inimese adenoviirus;Human adenovirus (organism);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Adenoviirus -> Inimese adenoviirus;
197344005;;Adenoviiruse põhjustatud hepatiit;Hepatitis caused by adenovirus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
50353005;;Aeglustunud küpsemine;Maturation deceleration (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
88529008;;Aeromonas sp;Genus Aeromonas (organism);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Aeromonas spp. -> Aeromonas sp;
110426005;;Aft;Aphtha (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
47284001;;Fibromatoos, desmoidne tüüp;Aggressive fibromatosis (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Agressiivne fibromatoos-> Fibromatoos, desmoidne tüüp;
128833001;;Agressiivne NK-rakkleukeemia;Aggressive natural killer-cell leukemia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
70511009;;Agressiivne osteoblastoom;Aggressive osteoblastoma (morphologic abnormality);;0;19.12.2016;30.05.2023;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, asendajat ei ole;
420549007;;AIDS-seoseline süljenäärmehaigus;Salivary gland disease with acquired immunodeficiency syndrome (disorder);;0;19.12.2016;;31.05.2022;Eesti Patoloogide Selts;1;Korrigeeritud SNOMED CT FSN: Salivary gland disease associated with acquired immunodeficiency syndrome (disorder) -> Salivary gland disease with acquired immunodeficiency syndrome (disorder);
235903001;;Ainevahetuslik ja geneetiline maksahaigus;Metabolic and genetic disorder affecting the liver (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
57148006;;Aju kaasasündinud väärarend;Congenital anomaly of brain (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
43327007;;Akantolüüs;Acantholysis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
397188008;;Akantolüütiline akantoom;Acantholytic acanthoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
22524002;;Akantolüütiline düskeratoom;Warty dyskeratoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
201247012;;Akantolüütiline lamerakuline kartsinoom;Acantholytic squamous cell carcinoma;;0;19.12.2016;11.09.2017;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks kuna Kood ja Pikk_nimetus (SNOMED CT FSN) muutus. Uus Kood ja Pikk_nimetus (SNOMED CT FSN) on 403901001 Acantholytic squamous cell carcinoma (disorder);
403901001;;Akantolüütiline lamerakuline kartsinoom;Acantholytic squamous cell carcinoma (disorder);;0;11.09.2017;;;Eesti Patoloogide Selts;1;Asendab kehtetuks tunnistatud diagnoosi 201247012 Acantholytic squamous cell carcinoma;
70266006;;Akantolüütiline vill;Acantholytic blister (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
239110000;;Akantolüütilis-düskeratootiline epidermaalneevus;Acantholytic dyskeratotic epidermal nevus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
23620008;;Akantoos;Acanthosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
16974005;;Akraalne melanoom;Acral lentiginous melanoma, malignant (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus nimetus: Akraalne lentiginoosne melanoom -> Akraalne melanoom;
856006;;Aktiinkeratoos;Actinic keratosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
11817007;;Aktinomükoos;Actinomycotic infection (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
84773003;;Alajäsemete kaasasündinud väärarend;Congenital anomaly of lower limb (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
109552000;;Alalõualuu bifurkatsioontsüst;Buccal bifurcation cyst (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
23132008;;Kergeahela amüloidoos;Amyloid light-chain amyloidosis (disorder);;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust: AL-amüloidoos -> Kergeahela amüloidoos; Lisatud JSV kood: 1- kasvajat ei ole; Korrigeeritud SNOMED CT FSN: AL amyloidosis (disorder) -> Amyloid light-chain amyloidosis (disorder)";1- kasvajat ei ole
73774007;;Alaäge bakteriaalne endokardiit;Subacute bacterial endocarditis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
109298000;;Alaäge bursiit;Subacute bursitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
239891002;;Alaäge erütematoosluupus;Subacute cutaneous lupus erythematosus (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
50265006;;Alaäge granulomatoosne põletik;Subacute granulomatous inflammation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
60109006;;Alaäge lümfotsütaarne põletik;Subacute lymphocytic inflammation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
698055008;;Alaäge nekrotiseeruv sialoadeniit;Subacute necrotizing sialadenitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
123748003;;Alaäge proliferatiivne põletik;Subacute proliferative inflammation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;1- kasvajat ei ole
38727009;;Alaäge türeoidiit;Subacute thyroiditis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
190944000;;Alfa-1-antitrüpsiin hepatiit;Alpha-1-antitrypsin hepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
11578015;;Alfa-raskaheltõbi;Alpha heavy chain disease;;0;19.12.2016;11.09.2017;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks kuna Kood ja Pikk_nimetus (SNOMED CT FSN) muutus. Uus Kood ja Pikk_nimetus (SNOMED CT FSN) on 109982002 Alpha heavy chain disease (disorder);
109982002;;Alfa-raskaheltõbi;Alpha heavy chain disease (disorder);;0;11.09.2017;;;Eesti Patoloogide Selts;1;Asendab kehtetuks tunnistatud diagnoosi 201247012 Alpha heavy chain disease;
95896000;;Algloomade põhjustatud infektsioon;Protozoan infection (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
450910000;;ALK positiivne B-suurrakklümfoom;Anaplastic lymphoma kinase positive large B-cell lymphoma (morphologic abnormality);;0;19.12.2016;;13.12.2018;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;4- vähk
235875008;;Alkohoolne hepatiit;Alcoholic hepatitis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
235880004;;Alkohoolne maksafibroos ja -skleroos;Alcoholic fibrosis and sclerosis of liver (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
41309000;;Alkohoolne maksakahjustus;Alcoholic liver damage (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
50325005;;Alkohoolne maksasteatoos;Alcoholic fatty liver (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
420054005;;Alkohoolne maksatsirroos;Alcoholic cirrhosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
1824008;;Allergiline gastriit;Allergic gastritis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
56317004;;Alopeetsia;Alopecia (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
123654008;;Alumise hingamissüsteemi kaasasündinud väärarend;Congenital anomaly of lower respiratory system (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
31686000;;Alumise seedesüsteemi kaasasündinud väärarend;Congenital anomaly of lower alimentary tract (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
8097004;;Alveolaarne adenoom;Alveolar adenoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
88195001;;Alveolaarne pehmekoeline sarkoom;Alveolar soft part sarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
63449009;;Alveolaarne rabdomüosarkoom;Alveolar rhabdomyosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
70594002;;Amelanootiline melanoom;Amelanotic melanoma (morphologic abnormality);;0;19.12.2016;30.09.2019;;Eesti Patoloogide Selts;0;;
6437002;;Ameloblastne fibrodentinoom;Ameloblastic fibrodentinoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
84983008;;Ameloblastne fibroodontoom;Ameloblastic fibro-odontoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
11063000;;Ameloblastne fibroom;Ameloblastic fibroma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
27092008;;Ameloblastne fibrosarkoom;Ameloblastic fibrosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
20380000;;Ameloblastne odontosarkoom;Ameloblastic odontosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
20462008;;Ameloblastoom;Ameloblastoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
278401004;;Ameloblastoom, desmoplastiline tüüp;Desmoplastic ameloblastoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
278404007;;Ameloblastoom, luuväline/perifeerne tüüp;Peripheral ameloblastoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
88253001;;Ameloblastoom, pahaloomuline;Ameloblastoma, malignant (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
278385006;;Ameloblastoom, ühetsüstiline tüüp;Unicystic ameloblastoma (morphologic abnormality);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus nimetus: Ameloblastoom, tsüsti variant -> Ameloblastoom, ühetsüstiline tüüp;
450937003;;"AML, (megakarüoblastne) t(1;22)(p13.3;q13.1); RBM15-MKL1";"Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1 (morphologic abnormality)";;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust: AML, (megakarüoblastne) t(1;22)(p13;q13); RBM15-MKL1 -> AML, (megakarüoblastne) t(1;22)(p13.3;q13.1); RBM15-MKL1";
703819004;;AML, CEBPA bialleelse mutatsiooniga;Acute myeloid leukemia with mutated CEBPA (morphologic abnormality);;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;Korrigeeritud eestikeelset nimetust: AML, CEBPA mutatsiooniga -> AML, CEBPA bialleelse mutatsiooniga;
103688009;;"AML, inv(16)(p13.1;q22) või t(16;16)(p13.1;q22); CBFB-MYH11";"Acute myeloid leukemia with abnormal marrow eosinophils and inv(16)(p13q22) or t(16;16)(p13;q22) (morphologic abnormality)";;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust: AML, inv(16)(p13.1;q22) või t(16;16)(p13.1;q22); CBFB-MYH1 1 -> AML, inv(16)(p13.1;q22) või t(16;16)(p13.1;q22); CBFB-MYH11";
450929006;;"AML, inv(3)(q21.3;q26.2) või t(3;3)(q21.3;q26.2); GATA2, MECOM";"Acute myeloid leukemia with inv(3)(q21q26.2) or t(3;3)(q21;q26.2); RPN1-EVI1 (morphologic abnormality)";;0;19.12.2016;;31.05.2021;Eesti Patoloogide Selts;1;Korrigeeritud eestikeelset nimetust: eemaldatud üleliigne tühik;
103691009;;AML, küpsemistunnustega;Acute myeloid leukemia with maturation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103690005;;AML, küpsemistunnusteta;Acute myeloid leukemia without maturation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
103689001;;AML, minimaalse diferentseerumisega;Acute myeloid leukemia, minimal differentiation (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128827005;;AML, müelodüsplastiliste muutustega;Acute myeloid leukemia with multilineage dysplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
703820005;;AML, NPM1 mutatsiooniga;Acute myeloid leukemia with mutated NPM1 (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
450928003;;"AML, t(6;9)(p23;q34.1); DEK-NUP214";"Acute myeloid leukemia with t(6;9)(p23;q34); DEK-NUP214 (morphologic abnormality)";;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust: AML, t(6;9)(p23;q34); DEK- NUP214 -> AML, t(6;9)(p23;q34.1); DEK-NUP214";
128828000;;"AML, t(8;21)(q22;q22.1); RUNX1-RUNX1T1";"Acute myeloid leukemia, t(8;21) (q22;q22) (morphologic abnormality)";;0;19.12.2016;;29.11.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust: AML, t(8;21)(q22;q22); RUNX1-RUNX1T1 -> AML, t(8;21)(q22;q22.1); RUNX1-RUNX1T1";
128829008;;"AML, t(9;11)(p21.3;q23.3); KMT2A-MLLT3";Acute myeloid leukemia, 11q23 abnormalities (morphologic abnormality);;0;19.12.2016;;20.03.2018;Eesti Patoloogide Selts;1;"Korrigeeritud eestikeelset nimetust (AML, t(9;11)(p22;q23); MLLT3-MLL - > AML, t(9;11)(p21.3;q23.3); KMT2A-MLLT3))";
440214006;;Amnioniväädist tingitud väärarend;Deformity due to amniotic band (disorder);;0;19.12.2016;30.11.2020;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 765206003 Constriction ring syndrome (disorder);
68790008;;Amüloidi ladestus;Amyloid deposition (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
17602002;;Amüloidoos;Amyloidosis (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
55353007;;Anaplastiline astrotsütoom, teisiti täpsustamata;Astrocytoma, anaplastic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
21589007;;Anaplastiline ependümoom;Ependymoma, anaplastic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128912009;;Anaplastiline ganglioglioom;Ganglioglioma, anaplastic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
58248003;;Anaplastiline kartsinoom;Carcinoma, anaplastic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;4- vähk
78303004;;Anaplastiline meningioom;Meningioma, malignant (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
253072003;;Anaplastiline oligoastrotsütoom;Anaplastic oligoastrocytoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
3102004;;Anaplastiline oligodendroglioom, teisiti täpsustamata;Oligodendroglioma, anaplastic (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
448212009;;Anaplastiline suurrakklümfoom, ALK negatiivne;Anaplastic lymphoma kinase negative anaplastic large cell lymphoma (disorder);;0;19.12.2016;;13.12.2018;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;4- vähk
41796003;;Anastomoos;Anastomosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
17113000;;Ancylostoma sp;Ancylostoma (organism);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Ancylostoma spp. -> Ancylostoma sp;
238828009;;Anetoderma;Anetoderma (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
85659009;;Aneurüsm;Aneurysm (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
76000001;;Aneurüsmaatiline luutsüst;Aneurysmal bone cyst (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
71072006;;Angiodüsplaasia;Angiodysplasia (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
60392001;;Angiofibroom;Angiofibroma, no International Classification of Diseases for Oncology subtype (morphologic abnormality);;0;19.12.2016;31.05.2022;29.11.2018;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 1162933001 Angiofibroma (morphologic abnormality);
835009;;Angioimmuunoblastne T-rakklümfoom;Angioimmunoblastic T-cell lymphoma (morphologic abnormality);;0;19.12.2016;;13.12.2018;Eesti Patoloogide Selts;1;Lisatud JSV kood VSR-i jaoks;4- vähk
26810009;;Angiokeratoom;Angiokeratoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
73219006;;Angiolipoom;Angiolipoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
125574005;;Angiolümfoidne hüperplaasia eosinofiiliaga;Angiolymphoid hyperplasia with eosinophilia (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128744003;;Angiomatoidne fibroosne histiotsütoom;Angiomatoid fibrous histiocytoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
14350002;;Angiomatoos;Angiomatosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
73918009;;Angiomatoosne meningioom;Angiomatous meningioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
57723004;;Angiomüksoom;Angiomyxoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
128739005;;Angiomüofibroblastoom;Angiomyofibroblastoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
19929002;;Angiomüolipoom;Angiomyolipoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
110457005;;Angiomüoliposarkoom;Angiomyoliposarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
86959002;;Angioleiomüoom;Angiomyoma (morphologic abnormality);;0;19.12.2016;;07.10.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Angiomüoom -> Angioleiomüoom;
28953002;;Angiomüosarkoom;Angiomyosarcoma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
4629018;;Angioom;Angioma;;0;19.12.2016;11.09.2017;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks kuna ei ole enam vajalik.;
39000009;;Angiosarkoom;Hemangiosarcoma (morphologic abnormality);;0;19.12.2016;30.05.2023;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, seda asendab 863926008 Angiosarcoma (morphologic abnormality);4- vähk
7153002;;Angiostrongylus sp;Angiostrongylus (organism);;0;19.12.2016;;30.09.2019;Eesti Patoloogide Selts;1;Muudetud veerus Nimetus: Angiostrongylus spp. -> Angiostrongylus sp;
450900009;;Angiotsentriline glioom;Angiocentric glioma (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
41556003;;Angiotsentrilis-immuunoproliferatiivne muutus;Angiocentric immunoproliferative lesion (morphologic abnormality);;0;19.12.2016;30.05.2023;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks, asendajat ei ole;
3706005;;Anisakis simplex;Anisakis simplex (organism);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
2881000;;Anisokarüoos;Anisokaryosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
57241006;;Anisotsütoos;Anisocytosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
36504009;;Anküloos;Ankylosis (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
72779005;;Anorektaalne fistul;Anorectal fistula (disorder);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
289956008;;Anorgaaniline looduslik materjal;Inorganic natural material (substance);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
70527002;;Anovulatoorse tsükli endomeetrium;Anovulatory cycle endometrium (morphologic abnormality);;0;19.12.2016;;;Eesti Patoloogide Selts;1;;
199945011;;Antiikne švannoom;Ancient schwannoma;;0;19.12.2016;11.09.2017;;Eesti Patoloogide Selts;0;Tunnistatud kehtetuks kuna Kood ja Pikk_nimetus (SNOMED CT FSN) muutus. Uus Kood ja Pikk_nimetus (SNOMED CT FSN) on 409704009 Ancient schwannoma (morphologic abnormality);
