Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;;
A03.8;Muu šigelloos  ;Muu šigelloos  ;Muu šigelloos  ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
A03.9;Täpsustamata šigelloos ;Täpsustamata šigelloos ;Täpsustamata šigelloos ;0;1;01.01.2011;;14.07.2016;Terviseamet;1;Viidud eritähtedega nimetused kooskõlla ametliku RKH-10 loendiga;;
A04.0;Enteropatogeense Escherichia coli nakkus;Enteropatogeense Escherichia coli nakkus;Enteropatogeense Escherichia coli nakkus;0;1;01.01.2011;16.03.2019;;Terviseamet;0;Määratud kehtetuks tervise- ja tööministri määruse nr 24 §1 alusel;;
A04.1;Enterotoksi[ko]geense Escherichia coli nakkus;Enterotoksi[ko]geense Escherichia coli nakkus;Enterotoksi[ko]geense Escherichia coli nakkus;0;1;01.01.2011;16.03.2019;;Terviseamet;0;Määratud kehtetuks tervise- ja tööministri määruse nr 24 §1 alusel;;
A04.2;Enteroinvasiivse Escherichia coli nakkus;Enteroinvasiivse Escherichia coli nakkus;Enteroinvasiivse Escherichia coli nakkus;0;1;01.01.2011;16.03.2019;;Terviseamet;0;Määratud kehtetuks tervise- ja tööministri määruse nr 24 §1 alusel;;
A04.3;Enterohemorraagilise Escherichia coli nakkus;Enterohemorraagilise Escherichia coli nakkus;Enterohemorraagilise Escherichia coli nakkus;0;1;01.01.2011;;;Terviseamet;1;;;
A04.4;Muud Escherichia coli nakkused;Muud Escherichia coli nakkused;Muud Escherichia coli nakkused;0;1;01.01.2011;16.03.2019;;Terviseamet;0;Määratud kehtetuks tervise- ja tööministri määruse nr 24 §1 alusel;;
A04.5;Kampülobakterenteriit;Kampülobakterenteriit;Kampülobakterenteriit;0;1;01.01.2011;;;Terviseamet;1;;;
A04.6;Yersinia enterocolitica enteriit;Yersinia enterocolitica enteriit;Yersinia enterocolitica enteriit;0;1;01.01.2011;;;Terviseamet;1;;;
A04.7;Clostridium difficile enterokoliit;Clostridium difficile enterokoliit;Clostridium difficile enterokoliit;0;1;16.03.2019;;;Terviseamet;1;Lisatud tervise- ja tööministri määruse nr 24 §1 alusel;;
A04.8;Soole muud täpsustatud bakternakkused;Soole muud täpsustatud bakternakkused;Soole muud täpsustatud bakternakkused;0;1;01.01.2011;;;Terviseamet;1;;;
A04.9;Soole täpsustamata bakternakkused;Soole täpsustamata bakternakkused;Soole täpsustamata bakternakkused;0;1;01.01.2011;01.04.2013;;Terviseamet;0;;;
A05.0;Stafülokokktoidumürgistus;Stafülokokktoidumürgistus;Stafülokokktoidumürgistus;0;1;01.01.2011;;;Terviseamet;1;;;
A05.1;Botulism;Botulism;Botulism;0;1;01.01.2011;;;Terviseamet;1;;;
A05.2;Clostridium perfringens'i [Cl. welchii] toidumürgistus;Clostridium perfringens'i [Cl. welchii] toidumürgistus;Clostridium perfringens'i [Cl. welchii] toidumürgistus;0;1;01.01.2011;;;Terviseamet;1;;;
A05.3;Vibrio parahaemolyticus'e toidumürgistus;Vibrio parahaemolyticus'e toidumürgistus;Vibrio parahaemolyticus'e toidumürgistus;0;1;01.01.2011;;;Terviseamet;1;;;
A05.4;Bacillus cereus'e toidumürgistus;Bacillus cereus'e toidumürgistus;Bacillus cereus'e toidumürgistus;0;1;01.01.2011;;;Terviseamet;1;;;
A05.8;Muud täpsustatud baktertoidumürgistused;Muud täpsustatud baktertoidumürgistused;Muud täpsustatud baktertoidumürgistused;0;1;01.01.2011;;;Terviseamet;1;;;
A05.9;Täpsustamata baktertoidumürgistus;Täpsustamata baktertoidumürgistus;Täpsustamata baktertoidumürgistus;0;1;01.01.2011;01.04.2013;;Terviseamet;0;;;
A06;Amöbiaas;Amöbiaas;Amöbiaas;;0;01.04.2013;;;Terviseamet;1;;;
A06.0 ;Äge amööbdüsenteeria ;Äge amööbdüsenteeria ;Äge amööbdüsenteeria ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.1 ;Krooniline sooleamöbiaas ;Krooniline sooleamöbiaas ;Krooniline sooleamöbiaas ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.2 ;Mittedüsenteeriline amööbkoliit ;Mittedüsenteeriline amööbkoliit ;Mittedüsenteeriline amööbkoliit ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.3 ;Sooleamöboom ;Sooleamöboom ;Sooleamöboom ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.4 ;Maksa amööbabstsess ;Maksa amööbabstsess ;Maksa amööbabstsess ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.5;Kopsu amööbabstsess ;Kopsu amööbabstsess ;Kopsu amööbabstsess ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.6 ;Peaaju amööbabstsess ;Peaaju amööbabstsess ;Peaaju amööbabstsess ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.7 ;Nahaamöbiaas ;Nahaamöbiaas ;Nahaamöbiaas ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.8;Muude paikmete amööbnakkus ;Muude paikmete amööbnakkus ;Muude paikmete amööbnakkus ;0;1;01.04.2013;;;Terviseamet;1;;;
A06.9;Täpsustamata amöbiaas ;Täpsustamata amöbiaas ;Täpsustamata amöbiaas ;0;1;01.04.2013;;;Terviseamet;1;;;
A07.1;Giardiaas [lambliaas];Giardiaas [lambliaas];Giardiaas [lambliaas];0;1;01.01.2011;;;Terviseamet;1;;;
A07.2;Krüptosporidioos;Krüptosporidioos;Krüptosporidioos;0;1;01.01.2011;;;Terviseamet;1;;;
A08.0;Rotaviirusenteriit;Rotaviirusenteriit;Rotaviirusenteriit;0;1;01.01.2011;;;Terviseamet;1;;;
A08.1;Norwalki viiruse tekkene äge gastroenteropaatia;Norwalki viiruse tekkene äge gastroenteropaatia;Norwalki viiruse tekkene äge gastroenteropaatia;0;1;01.01.2011;;;Terviseamet;1;;;
A08.2;Adenoviirusenteriit;Adenoviirusenteriit;Adenoviirusenteriit;0;1;01.01.2011;;;Terviseamet;1;;;
A08.3;Muu viirusenteriit;Muu viirusenteriit;Muu viirusenteriit;0;1;01.01.2011;;;Terviseamet;1;;;
A08.4;Soole täpsustamata viirusnakkus;Soole täpsustamata viirusnakkus;Soole täpsustamata viirusnakkus;0;1;01.01.2011;01.04.2013;;Terviseamet;0;;;
A08.5;Soole muud täpsustatud nakkused;Soole muud täpsustatud nakkused;Soole muud täpsustatud nakkused;0;1;01.01.2011;;;Terviseamet;1;;;
A15;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;Bakterioloogiliselt ja histoloogiliselt kinnitatud hingamiselundite tuberkuloos;;0;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.0;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;Kopsutuberkuloos, kinnitatud röga mikroskoopilise uuringuga, mikroobikultuuri abil või ilma;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.1;Kopsutuberkuloos, kinnitatud ainult kultuuriga;Kopsutuberkuloos, kinnitatud ainult kultuuriga;Kopsutuberkuloos, kinnitatud ainult kultuuriga;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.2;Kopsutuberkuloos, histoloogiliselt kinnitatud;Kopsutuberkuloos, histoloogiliselt kinnitatud;Kopsutuberkuloos, histoloogiliselt kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.3;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;Kopsutuberkuloos, täpsustamata meetodil kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.4;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Rindkeresiseste lümfisõlmede tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.5;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.6;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;Tuberkuloosne pleuriit, bakterioloogiliselt ja histoloogiliselt kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.7;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Hingamiselundite esmane tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.8;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;Muu hingamiselundite tuberkuloos, bakterioloogiliselt ja histoloogiliselt kinnitatud;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A15.9;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;Hingamiselundite täpsustamata tuberkuloos, kinnitatud bakterioloogiliselt ja histoloogiliselt;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;Bakterioloogiliselt või histoloogiliselt kinnitamata hingamiselundite tuberkuloos;;0;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.0;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;Kopsutuberkuloos, bakterioloogiliselt ja histoloogiliselt negatiivne;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.1;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;Kopsutuberkuloos, bakterioloogiline ja histoloogiline uuring tegemata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.2;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kopsutuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.3;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Rindkeresiseste lümfisõlmede tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.4;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Kõri-, trahhea- ja bronhituberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.5;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;Tuberkuloosne pleuriit, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.7;Hingamiselundite esmane tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Hingamiselundite esmane tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Hingamiselundite esmane tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.8;Muu hingamiselundite tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Muu hingamiselundite tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Muu hingamiselundite tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A16.9;Hingamiselundite täpsustamata tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Hingamiselundite täpsustamata tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;Hingamiselundite täpsustamata tuberkuloos, bakterioloogiline või histoloogiline kinnitus mainimata;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A17;Närvisüsteemi tuberkuloos;Närvisüsteemi tuberkuloos;Närvisüsteemi tuberkuloos;;0;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A17.0;Tuberkuloosne meningiit;Tuberkuloosne meningiit;Tuberkuloosne meningiit;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A17.1;Meningeaaltuberkuloom;Meningeaaltuberkuloom;Meningeaaltuberkuloom;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A17.8;Närvisüsteemi muu tuberkuloos;Närvisüsteemi muu tuberkuloos;Närvisüsteemi muu tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A17.9;Närvisüsteemi täpsustamata tuberkuloos;Närvisüsteemi täpsustamata tuberkuloos;Närvisüsteemi täpsustamata tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18;Muude elundite tuberkuloos;Muude elundite tuberkuloos;Muude elundite tuberkuloos;;0;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.0;Luude ja liigeste tuberkuloos;Luude ja liigeste tuberkuloos;Luude ja liigeste tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.1;Kuse-suguelundite tuberkuloos;Kuse-suguelundite tuberkuloos;Kuse-suguelundite tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.2;Perifeerne tuberkuloosne lümfadenopaatia;Perifeerne tuberkuloosne lümfadenopaatia;Perifeerne tuberkuloosne lümfadenopaatia;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.3;Soolte, peritoneumi ja mesenteriaalsõlmede tuberkuloos;Soolte, peritoneumi ja mesenteriaalsõlmede tuberkuloos;Soolte, peritoneumi ja mesenteriaalsõlmede tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.4;Naha ja nahaaluskoe tuberkuloos;Naha ja nahaaluskoe tuberkuloos;Naha ja nahaaluskoe tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.5;Silmatuberkuloos;Silmatuberkuloos;Silmatuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.6;Kõrvatuberkuloos;Kõrvatuberkuloos;Kõrvatuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.7;Neerupealisetuberkuloos;Neerupealisetuberkuloos;Neerupealisetuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A18.8;Muude täpsustatud elundite tuberkuloos;Muude täpsustatud elundite tuberkuloos;Muude täpsustatud elundite tuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19;Miliaartuberkuloos;Miliaartuberkuloos;Miliaartuberkuloos;;0;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19.0;Täpsustatud üksikpaikme äge miliaartuberkuloos;Täpsustatud üksikpaikme äge miliaartuberkuloos;Täpsustatud üksikpaikme äge miliaartuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19.1;Hulgipaikmeline äge miliaartuberkuloos;Hulgipaikmeline äge miliaartuberkuloos;Hulgipaikmeline äge miliaartuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19.2;Täpsustamata äge miliaartuberkuloos;Täpsustamata äge miliaartuberkuloos;Täpsustamata äge miliaartuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19.8;Muu miliaartuberkuloos;Muu miliaartuberkuloos;Muu miliaartuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A19.9;Täpsustamata miliaartuberkuloos;Täpsustamata miliaartuberkuloos;Täpsustamata miliaartuberkuloos;0;1;01.01.2011;04.10.2016;;Terviseamet;0;Määratud kehtetuks VV määruse nr 134 §2 lg 41 alusel;;
A20;Katk;Katk;Katk;;0;01.01.2011;;;Terviseamet;1;;;
A20.0;Buboonkatk;Buboonkatk;Buboonkatk;0;1;01.01.2011;;;Terviseamet;1;;;
A20.1;Nahakatk;Nahakatk;Nahakatk;0;1;01.01.2011;;;Terviseamet;1;;;
A20.2;Kopsukatk;Kopsukatk;Kopsukatk;0;1;01.01.2011;;;Terviseamet;1;;;
A20.3;Katkumeningiit;Katkumeningiit;Katkumeningiit;0;1;01.01.2011;;;Terviseamet;1;;;
A20.7;Katkuseptitseemia;Katkuseptitseemia;Katkuseptitseemia;0;1;01.01.2011;;;Terviseamet;1;;;
A20.8;Muud katkuvormid;Muud katkuvormid;Muud katkuvormid;0;1;01.01.2011;;;Terviseamet;1;;;
A20.9;Täpsustamata katk;Täpsustamata katk;Täpsustamata katk;0;1;01.01.2011;;;Terviseamet;1;;;
A21;Tulareemia;Tulareemia;Tulareemia;;0;01.01.2011;;;Terviseamet;1;;;
A21.0;Ultseroglandulaarne tulareemia;Ultseroglandulaarne tulareemia;Ultseroglandulaarne tulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A21.1;Okuloglandulaarne tulareemia;Okuloglandulaarne tulareemia;Okuloglandulaarne tulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A21.2;Kopsutulareemia;Kopsutulareemia;Kopsutulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A21.3;Gastrointestinaalne tulareemia;Gastrointestinaalne tulareemia;Gastrointestinaalne tulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A21.7;Generaliseerunud tulareemia;Generaliseerunud tulareemia;Generaliseerunud tulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A21.8;Tulareemia muud vormid;Tulareemia muud vormid;Tulareemia muud vormid;0;1;01.01.2011;;;Terviseamet;1;;;
A21.9;Täpsustamata tulareemia;Täpsustamata tulareemia;Täpsustamata tulareemia;0;1;01.01.2011;;;Terviseamet;1;;;
A22;Põrnatõbi [antraks e Siberi katk];Põrnatõbi [antraks e Siberi katk];Põrnatõbi [antraks e Siberi katk];;0;01.01.2011;;;Terviseamet;1;;;
A22.0;Nahapõrnatõbi;Nahapõrnatõbi;Nahapõrnatõbi;0;1;01.01.2011;;;Terviseamet;1;;;
A22.1;Kopsupõrnatõbi [Pulmonaalantraks];Kopsupõrnatõbi [Pulmonaalantraks];Kopsupõrnatõbi [Pulmonaalantraks];0;1;01.01.2011;;;Terviseamet;1;;;
A22.2;Gastrointestinaal-põrnatõbi;Gastrointestinaal-põrnatõbi;Gastrointestinaal-põrnatõbi;0;1;01.01.2011;;;Terviseamet;1;;;
A22.7;Põrnatõveseptitseemia;Põrnatõveseptitseemia;Põrnatõveseptitseemia;0;1;01.01.2011;;;Terviseamet;1;;;
A22.8;Põrnatõve muud vormid;Põrnatõve muud vormid;Põrnatõve muud vormid;0;1;01.01.2011;;;Terviseamet;1;;;
A22.9;Täpsustamata põrnatõbi;Täpsustamata põrnatõbi;Täpsustamata põrnatõbi;0;1;01.01.2011;;;Terviseamet;1;;;
A23;Brutselloos;Brutselloos;Brutselloos;;0;01.01.2011;;;Terviseamet;1;;;
A23.0;Brucella melitensis'e brutselloos;Brucella melitensis'e brutselloos;Brucella melitensis'e brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A23.1;Brucella abortus'e brutselloos;Brucella abortus'e brutselloos;Brucella abortus'e brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A23.2;Brucella suis'e brutselloos;Brucella suis'e brutselloos;Brucella suis'e brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A23.3;Brucella canis'e brutselloos;Brucella canis'e brutselloos;Brucella canis'e brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A23.8;Muu brutselloos;Muu brutselloos;Muu brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A23.9;Täpsustamata brutselloos;Täpsustamata brutselloos;Täpsustamata brutselloos;0;1;01.01.2011;;;Terviseamet;1;;;
A27;Leptospiroos;Leptospiroos;Leptospiroos;;0;01.01.2011;;;Terviseamet;1;;;
A27.0;Ikterohemorraagiline leptospiroos;Ikterohemorraagiline leptospiroos;Ikterohemorraagiline leptospiroos;0;1;01.01.2011;;;Terviseamet;1;;;
