Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;
H043;;lastereumatoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H044;;lastereumatoloogia päevaravi;;;0;17.05.2019;;;1;;
H045;;sisehaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H046;;sisehaiguste päevaravi;;;0;17.05.2019;;;1;;
H047;;ortopeedia statsionaarne ravi;;;0;17.05.2019;;;1;;
H048;;ortopeedia päevaravi;;;0;17.05.2019;;;1;;
H049;;lasteortopeedia statsionaarne ravi;;;0;17.05.2019;;;1;;
H050;;lasteortopeedia päevaravi;;;0;17.05.2019;;;1;;
H051;;traumatoloogia statsionaarne ravi ;;;0;17.05.2019;;;1;;
H052;;traumatoloogia päevaravi;;;0;17.05.2019;;;1;;
H053;;lastetraumatoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H054;;lastetraumatoloogia päevaravi;;;0;17.05.2019;;;1;;
H055;;kardiokirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H056;;kardiokirurgia päevaravi;;;0;17.05.2019;;;1;;
H057;;laste kardiokirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H058;;laste kardiokirurgia päevaravi;;;0;17.05.2019;;;1;;
H059;;lastekirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H060;;lastekirurgia päevaravi;;;0;17.05.2019;;;1;;
H061;;neurokirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H062;;neurokirurgia päevaravi;;;0;17.05.2019;;;1;;
H063;;laste neurokirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H064;;laste neurokirurgia päevaravi;;;0;17.05.2019;;;1;;
H065;;kõrva-nina-kurguhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H066;;kõrva-nina-kurguhaiguste päevaravi;;;0;17.05.2019;;;1;;
H067;;laste kõrva-nina-kurguhaiguste statsionaarne ravi;;;0;17.05.2019;;;1;;
H068;;laste kõrva-nina-kurguhaiguste päevaravi;;;0;17.05.2019;;;1;;
H069;;suu-, näo- ja lõualuukirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H070;;suu-, näo- ja lõualuukirurgia päevaravi;;;0;17.05.2019;;;1;;
H071;;laste suu-, näo- ja lõualuukirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H072;;laste suu-, näo- ja lõualuukirurgia päevaravi;;;0;17.05.2019;;;1;;
H073;;rindkerekirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H074;;rindkerekirurgia päevaravi;;;0;17.05.2019;;;1;;
H075;;laste rindkerekirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H076;;laste rindkerekirurgia päevaravi;;;0;17.05.2019;;;1;;
H077;;uroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H078;;uroloogia päevaravi;;;0;17.05.2019;;;1;;
H079;;lasteuroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H080;;lasteuroloogia päevaravi;;;0;17.05.2019;;;1;;
H081;;veresoontekirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H082;;veresoontekirurgia päevaravi;;;0;17.05.2019;;;1;;
H083;;üldkirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H084;;üldkirurgia päevaravi;;;0;17.05.2019;;;1;;
H085;;günekoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H086;;günekoloogia päevaravi;;;0;17.05.2019;;;1;;
H087;;sünnituseelne ja sünnitusabi statsionaarne ravi;;;0;17.05.2019;03.12.2019;;1;;
H088;;sünnituseelne ja sünnitusabi päevaravi;;;0;17.05.2019;03.12.2019;;1;;
H131;;sünnituseelne statsionaarne ravi;;;0;22.12.2020;;;1;;
H132;;sünnituseelne päevaravi;;;0;22.12.2020;;;1;;
H133;;sünnitusabi statsionaarne ravi;;;0;22.12.2020;;;1;;
H089;;onkoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H090;;onkoloogia päevaravi;;;0;17.05.2019;;;1;;
H091;;onkokirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H092;;onkokirurgia päevaravi;;;0;17.05.2019;;;1;;
H093;;statsionaarne keemiaravi;;;0;17.05.2019;;22.12.2020;1;;
H094;;päevane keemiaravi;;;0;17.05.2019;;22.12.2020;1;;
H095;;statsionaarne kiiritusravi;;;0;17.05.2019;;22.12.2020;1;;
H096;;päevane kiiritusravi;;;0;17.05.2019;;22.12.2020;1;;
H097;;lasteonkoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H098;;lasteonkoloogia päevaravi;;;0;17.05.2019;;;1;;
H099;;pediaatria statsionaarne ravi;;;0;17.05.2019;;;1;;
H100;;pediaatria päevaravi;;;0;17.05.2019;;;1;;
H101;;psühhiaatria statsionaarne ravi;;;0;17.05.2019;;;1;;
H102;;psühhiaatria päevaravi;;;0;17.05.2019;;;1;;
H103;;lastepsühhiaatria statsionaarne ravi;;;0;17.05.2019;;;1;;
H104;;lastepsühhiaatria päevaravi;;;0;17.05.2019;;;1;;
H105;;oftalmoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H106;;oftalmoloogia päevaravi;;;0;17.05.2019;;;1;;
H107;;lasteoftalmoloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H108;;lasteoftalmoloogia päevaravi;;;0;17.05.2019;;;1;;
H109;;statsionaarne taastusravi;;;0;17.05.2019;;22.12.2020;1;;
H110;;päevane taastusravi;;;0;17.05.2019;;22.12.2020;1;;
H111;;statsionaarne taastusravi, laste;;;0;17.05.2019;;22.12.2020;1;;
H112;;päevane taastusravi, laste;;;0;17.05.2019;;22.12.2020;1;;
H113;;statsionaarne hambaravi, laste (üldnarkoosis);;;0;17.05.2019;;22.12.2020;1;;
H114;;päevane hambaravi, laste (üldnarkoosis);;;0;17.05.2019;;22.12.2020;1;;
H115;;nukleaarmeditsiini statsionaarne ravi;;;0;17.05.2019;;;1;;
H116;;nukleaarmeditsiini päevaravi;;;0;17.05.2019;;;1;;
H117;;nefroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H118;;nefroloogia päevaravi;;;0;17.05.2019;;;1;;
H119;;lastenefroloogia statsionaarne ravi;;;0;17.05.2019;;;1;;
H120;;lastenefroloogia päevaravi;;;0;17.05.2019;;;1;;
H121;;lülisambakirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H122;;lülisambakirurgia päevaravi;;;0;17.05.2019;;;1;;
H123;;laste lülisambakirurgia statsionaarne ravi;;;0;17.05.2019;;;1;;
H124;;statsionaarne intensiivravi;;;0;17.05.2019;;22.12.2020;1;;
H125;;statsionaarne intensiivravi, laste;;;0;17.05.2019;;22.12.2020;1;;
H126;;dialüüsi päevaravi;;;0;17.05.2019;;;1;;
H127;;päevane viljatusravi;;;0;17.05.2019;;22.12.2020;1;;
H128;;statsionaarne põletusravi;;;0;17.05.2019;;22.12.2020;1;;
H134;;plastika- ja rekonstruktiivkirurgia statsionaarne ravi;;;0;22.12.2020;;;1;;
H135;;plastika- ja rekonstruktiivkirurgia päevaravi;;;0;22.12.2020;;;1;;
H129;;statsionaarne järelravi;;;0;17.05.2019;;22.12.2020;1;;
H130;;päevane valuravi;;;0;17.05.2019;;22.12.2020;1;;
H136;;töötervishoiu statsionaarne ravi;;;0;14.12.2022;;;1;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
