Tasandi nimetus;Kood;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus;;;;;
kood;AAC60;Ajuarteri ajutine sulgemine;Temporary closure of brain artery;;3;01.01.2023;;;1;;;;;;
kood;AAC70;Intrakraniaalse veeni endovaskulaarne trombektoomia;Intravascular removal of venous thrombosis of brain;;3;01.01.2023;;;1;;;;;;
kood;AAC75;Kaela- või ajuveeni dilatatsioon;Dilatation of vein of head or brain;;3;01.01.2023;;;1;;;;;;
kood;AAC78;Aju- või orbita piirkonna veeni selektiivne trombolüüs;Selective thrombolysis of brain or orbita vein;;3;01.01.2023;;;1;;;;;;
kood;AAC80;Võõrkeha eemaldamine pea- või kaelapiirkonna veenist;Removal of foreign body form head or neck vein;;3;01.01.2023;;;1;;;;;;
kood;AAC99;Muu operatsioon aneurüsmi või intrakraniaalse vaskulaarse kahjustuse korral;Other operation for aneurysm or other intracranial vascular lesion;;3;01.01.2003;;;1;;;;;;
3. tasand;AAD;Operatsioonid traumaatiliste peavigastuste korral;;;2;01.01.2003;;;1;;;;;;
kood;AAD00;Epiduraalse hematoomi evakuatsioon;Evacuation of epidural haematoma;;3;01.01.2003;;;1;;;;;;
kood;AAD05;Ägeda subduraalse hematoomi evakuatsioon;Evacuation of acute subdural haematoma;;3;01.01.2003;;;1;;;;;;
kood;AAD10;Kroonilise subduraalse hematoomi evakuatsioon;Evacuation of chronic subdural haematoma;;3;01.01.2003;;;1;;;;;;
kood;AAD12;Subduraalse vedeliku drenaaž;Drainage of subdural fluid;;3;01.01.2022;;;1;;;;;;
kood;AAD15;Traumaatilise intratserebraalse hematoomi evakuatsioon;Evacuation of traumatic intracerebral haematoma;;3;01.01.2003;;;1;;;;;;
kood;AAD16;Subduraalse dreeni eemaldamine;Removal of subdural drainage;;3;01.01.2022;;;1;;;;;;
kood;AAD30;Kolju penetreeriva või perforeeriva vigastuse revisioon;Revision of penetrating or perforating injury of skull;;3;01.01.2003;;;1;;;;;;
kood;AAD40;Koljumurru revisioon;Revision of fracture of skull;;3;01.01.2003;;;1;;;;;;
kood;AAD42;Eesmise koljupõhimiku murru ravi;Treatment of frontobasal fracture of skull;;3;01.01.2022;;;1;;;;;;
kood;AAD99;Muu operatsioon traumaatilise peavigastuse korral;Other operation for head injury;;3;01.01.2003;;;1;;;;;;
3. tasand;AAE;Operatsioonid koljupõhimiku kaudu;;;2;01.01.2003;;;1;;;;;;
kood;AAE00;Transsfenoidaalne eksploratsioon;Transsphenoidal exploration;;3;01.01.2003;;;1;;;;;;
kood;AAE10;Transsfenoidaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transsphenoidal total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE20;Transoraalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transoral total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE25;Transtservikaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transcervical total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE30;Translabürintne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Translabyrinthine total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE32;Akustikusneurinoomi translabürintne eemaldamine;Translabyrinthine excision acoustic neurinome;;3;01.01.2022;;;1;;;;;;
kood;AAE40;Transtemporaalne intrakraniaalse kahjustuse täielik või osaline ekstsisioon;Transtemporal total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE50;Intrakraniaalse kahjustuse täielik või osaline ekstsisioon sarna-oimuluu kaudu;Zygomaticotemporal total or partial excision of intracranial lesion;;3;01.01.2003;;;1;;;;;;
kood;AAE99;Muu operatsioon koljupõhimiku kaudu;Other operation by cranial base approach;;3;01.01.2003;;;1;;;;;;
3. tasand;AAF;Šunteerivad operatsioonid ajuvatsakestel ja intratserebraalsete tsüstide korral;;;2;01.01.2003;;;1;;;;;;
kood;AAF00;Ventrikulostoom;Ventriculostomy;;3;01.01.2003;;;1;;;;;;
kood;AAF05;Ventrikuloperitoneaalne šunteerimine;Ventriculoperitoneal shunt;;3;01.01.2003;;;1;;;;;;
kood;AAF10;Lumboperitoneaalne šunteerimine;Lumboperitoneal shunt;;3;01.01.2003;;;1;;;;;;
kood;AAF12;Liikvori lumbaalne drenaaž;Lumbal drainage of cerebrospinal fluid;;3;01.01.2022;;;1;;;;;;
kood;AAF13;Liikvori eemaldamine nahaaluse kateetriga;Catheterisation of cerebrospinal fluid through skin;;3;01.01.2023;;;1;;;;;;
kood;AAF14;Liikvorikateetri vahetus;Exchange of cerebrospinal catheter;;3;01.01.2023;;;1;;;;;;
kood;AAF15;Ventrikuloatriaalne šunteerimine;Ventriculoatrial shunt;;3;01.01.2003;;;1;;;;;;
kood;AAF20;Ajuvatsakeste šundi revisioon;Revision of shunt of ventricle of brain;;3;01.01.2003;;;1;;;;;;
kood;AAF25;Ajuvatsakeste šundi eemaldamine;Removal of shunt of ventricle of brain;;3;01.01.2003;;;1;;;;;;
kood;AAF26;Ajuvatsakeste šundi klapi seadistamine;Adjustment of hydrocephalus shunt valve;;3;01.01.2023;;;1;;;;;;
kood;AAF30;Intraventrikulaarse süstesüsteemi implantatsioon;Implantation of intraventricular injection device;;3;01.01.2003;;;1;;;;;;
kood;AAF31;Tsisternaalse kateetri asetamine;Insertion intracisternal catheter;;3;01.01.2023;;;1;;;;;;
kood;AAF35;Reservuaari implantatsioon intraventrikulaarse teraapia jaoks;Implantation of reservoir for intraventricular therapy;;3;01.01.2003;;;1;;;;;;
kood;AAF40;Intrakraniaalse tsüsti šunteerimine peritoneumi;Shunt of intracranial cyst to peritoneum;;3;01.01.2003;;;1;;;;;;
kood;AAF45;Intrakraniaalse tsüsti fenestratsioon;Fenestration of intracranial cyst;;3;01.01.2003;;;1;;;;;;
kood;AAF50;Endoskoopiline kolmanda ajuvatsakese ventrikulostoomia;Endoscopic Third Ventriculostomy (ETV);;3;01.01.2020;;;1;;;;;;
kood;AAF99;Muu šunteeriv operatsioon ajuvatsakestel või intrakraniaalsel tsüstil;Other shunt operation on ventricle of brain or intracranial cyst;;3;01.01.2003;;;1;;;;;;
3. tasand;AAG;Stereotaktilised intrakraniaalsed operatsioonid;;;2;01.01.2003;;;1;;;;;;
kood;AAG00;Stereotaktiline intrakraniaalne biopsia;Stereotactic intracranial biopsy;;3;01.01.2003;;;1;;;;;;
kood;AAG10;Stereotaktiline tuumori või närvitrakti intrakraniaalne destruktsioon;Stereotactic intracranial destruction of nucleus or nerve tract;;3;01.01.2003;;;1;;;;;;
kood;AAG20;Stereotaktiline elektroodide intrakraniaalne implanteerimine;Stereotactic intracranial implantation of electrodes;;3;01.01.2003;;;1;;;;;;
kood;AAG22;Taalamuse elektroodi implanteerimine;Implantation of electrode to thalamus;;3;01.01.2022;;;1;;;;;;
kood;AAG23;Taalamuse elektroodi revisioon;Revision of thalamic electrode;;3;01.01.2022;;;1;;;;;;
kood;AAG30;Stereotaktiline radioaktiivse aine intrakraniaalne implanteerimine;Stereotactic intracranial implantation of radioactive agent;;3;01.01.2003;;;1;;;;;;
kood;AAG40;Stereotaktiline lootekoe intrakraniaalne implanteerimine;Stereotactic intracranial implantation of fetal tissue;;3;01.01.2003;;;1;;;;;;
kood;AAG50;Stereotaktiline intrakraniaalne radioteraapia;Stereotactic intracranial radiotherapy;;3;01.01.2003;;;1;;;;;;
kood;AAG99;Muu stereotaktiline intrakraniaalne operatsioon;Other stereotactic intracranial operation;;3;01.01.2003;;;1;;;;;;
3. tasand;AAH;Operatsioonid kraniaalnärvidel;;;2;01.01.2003;;;1;;;;;;
kood;AAH10;Kraniaalnärvi risotoomia;Rhizotomy of cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAH20;Kraniaalnärvi dekompressioon;Decompression of cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAH30;Kraniaalnärvi termiline destruktsioon;Thermal destruction of cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAH40;Süstimine kraniaalnärvi;Injection into cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAH50;Kraniaalnärvi anastomoos;Cranial nerve anastomosis;;3;01.01.2003;;;1;;;;;;
kood;AAH60;Kraniaalnärvi mikrovaskulaarne dekompressioon;Microvascular decompression of cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAH70;Närvi transplantatsioon kraniaalnärvile;Nervtransplantation to cranial nerve;;3;01.01.2022;;;1;;;;;;
kood;AAH80;Mikrovaskulaarse lihaslapi siirdamine kraniaalnärvi piirkonnas;Microvascural muscle transplantation in cranial nerve area;;3;01.01.2022;;;1;;;;;;
kood;AAH99;Muu operatsioon kraniaalnärvil;Other operation on cranial nerve;;3;01.01.2003;;;1;;;;;;
kood;AAI20;Terapeutilise aine süstimine koljusse;Injection of therapeutic substance to skull;;3;01.01.2022;31.12.2022;;1;Uus kood TAA00;;;;;
3. tasand;AAJ;Operatsioonid epilepsia korral;;;2;01.01.2003;;;1;;;;;;
kood;AAJ00;Hemisferektoomia;Hemispherectomy;;3;01.01.2003;;;1;;;;;;
kood;AAJ10;Lobektoomia epilepsia korral;Lobectomy for epilepsy;;3;01.01.2003;;;1;;;;;;
kood;AAJ15;Hipokampektoomia;Hippocampectomy;;3;01.01.2003;;;1;;;;;;
kood;AAJ20;Epileptilise kolde ekstsisioon;Excision of epileptic focus;;3;01.01.2003;;;1;;;;;;
kood;AAJ25;Närvitraktide läbilõige epilepsia korral;Transcision of nerve tracts for epilepsy;;3;01.01.2003;;;1;;;;;;
kood;AAJ30;Kallosotoomia epilepsia korral;Callosotomy for epilepsy;;3;01.01.2003;;;1;;;;;;
kood;AAJ35;Hemidekortikatsioon epilepsia korral;Hemidecortication for epilepsy;;3;01.01.2003;;;1;;;;;;
kood;AAJ99;Muu operatsioon epilepsia korral;Other operation for epilepsy;;3;01.01.2003;;;1;;;;;;
3. tasand;AAK;Operatsioonid koljul ja dural;;;2;01.01.2003;;;1;;;;;;
kood;AAK00;Kranioplastika;Cranioplasty;;3;01.01.2003;;;1;;;;;;
kood;AAK10;Dura korrektsioon;Repair of dura;;3;01.01.2003;;;1;;;;;;
kood;AAK20;Operatsioonid kraniosünostoosi korral;Operations for craniosynostosis;;3;01.01.2003;;;1;;;;;;
kood;AAK30;Näokolju rekonstruktsioon kaasasündinud väärarengute korral;Craniofacial reconstruction in congenital malformations;;3;01.01.2003;;;1;;;;;;
kood;AAK40;Liikvori fistuli sulgemine;Closure of cerebrospinal fluid fistula;;3;01.01.2003;;;1;;;;;;
kood;AAK50;Kolju murru reponeerimine ja osteosüntees;Reposition and ostheosynthesis in skull trauma;;3;01.01.2022;;;1;;;;;;
kood;AAK60;Koljukahjustuse resektsioon kolju rekonstrueerimisega;Resection of skull lesion with reconstruction;;3;01.01.2022;;;1;;;;;;
kood;AAK70;Koljubiopsia;Biopsy of skull;;3;01.01.2003;;;1;;;;;;
kood;AAK75;Kolju kahjustuskolde ekstsisioon;Excision of lesion of skull;;3;01.01.2003;;;1;;;;;;
kood;AAK80;Pealae osaline ekstsisioon;Partial excision of skull cap;;3;01.01.2010;;;1;;;;;;
kood;AAK85;Eelnevalt eemaldatud pealae osa replantatsioon;Replantation of previously excised part of skull cap;;3;01.01.2010;;;1;;;;;;
kood;AAK91;Luumarkeri implanteerimine koljule;Implantation of skeletal marker to skull;;3;01.01.2022;;;1;;;;;;
kood;AAK99;Muu operatsioon koljul või dural;Other operation on skull or dura;;3;01.01.2003;;;1;;;;;;
3. tasand;AAL;Intrakraniaalsed endovaskulaarsed protseduurid;;;2;01.01.2003;;;1;;;;;;
kood;AAL00;Intrakraniaalse aneurüsmi endovaskulaarne okluseerimine;Endovascular occlusion of intracranial aneurysm;;3;01.01.2003;;;1;;;;;;
kood;AAL10;Intrakraniaalne endovaskulaarne trombolüüs;Intracranial endovascular thrombolysis;;3;01.01.2003;;;1;;;;;;
kood;AAL18;Akuutse isheemilise insuldi intravenoosne trombolüüsravi;Fibrinolytic therapy for acute ischemic stroke;;3;01.01.2014;;;1;;;;;;
kood;AAL20;Intrakraniaalse arterio-venoosse malformatsiooni endovaskulaarne okluseerimine;Endovascular occlusion of intracranial arterio-venous malformation;;3;01.01.2003;;;1;;;;;;
kood;AAL30;Intrakraniaalse fistuli endovaskulaarne okluseerimine;Endovascular occlusion of intracranial fistula;;3;01.01.2003;;;1;;;;;;
kood;AAL40;Intrakraniaalsete tuumorit toitvate arterite endovaskulaarne okluseerimine;Endovascular occlusion of feeding arteries of intracranial tumour;;3;01.01.2003;;;1;;;;;;
kood;AAL99;Muu intrakraniaalne endovaskulaarne protseduur;Other intracranial endovascular procedure;;3;01.01.2003;;;1;;;;;;
3. tasand;AAM;Operatsioonid intrakraniaalse infektsiooni korral;;;2;01.01.2003;;;1;;;;;;
kood;AAM00;Intrakraniaalse abstsessi punktsioon ja evakuatsioon;Puncture and evacuation of intracerebral abscess;;3;01.01.2003;;;1;;;;;;
kood;AAM10;Intrakraniaalse abstsessi ekstsisioon;Excision of intracerebral abscess;;3;01.01.2003;;;1;;;;;;
kood;AAM30;Epiduraalse või subduraalse empüeemi evakuatsioon;Evacuation of epidural or subdural empyema;;3;01.01.2003;;;1;;;;;;
kood;AAM99;Muu operatsioon intrakraniaalse infektsiooni korral;Other operation for intracranial infection;;3;01.01.2003;;;1;;;;;;
3. tasand;AAN;Operatsioonid kaasasündinud intrakraniaalsete väärarengute korral;;;2;01.01.2003;;;1;;;;;;
kood;AAN00;Meningo-entsefalotseele ekstsisioon ja korrektsioon;Excision and repair of encephalocele;;3;01.01.2003;;;1;;;;;;
kood;AAN99;Muu operatsioon kaasasündinud intrakraniaalse väärarengu korral;Other operation for intracranial congenital malformation;;3;01.01.2003;;;1;;;;;;
3. tasand;AAP;Rekonstruktiivsed operatsioonid nöohalvatuse korral;;;2;01.01.2010;;;1;;;;;;
kood;AAP00;Lihase lokaalne transpositsioon näo halvatuse korral;Local transposition of muscle for facial palsy;;3;01.01.2010;;;1;;;;;;
kood;AAP10;Kogu näo närvide transplantatsioon näo halvatuse korral;Cross-facial transplantation of nerve for facial palsy;;3;01.01.2010;;;1;;;;;;
kood;AAP20;Mikrovaskulaarne transpositsioon näo halvatuse korral;Microvascular transposition of muscle for facial palsy;;3;01.01.2010;;;1;;;;;;
kood;AAP99;Muu rekonstruktiivne operatsioon näo halvatuse korral;Other reconstructive operation for facial palsy;;3;01.01.2010;;;1;;;;;;
kood;AAT05;Aju süvastimulaatori paigaldamine või seadistamine;Adjustment or insertion of electronic stimulator for deep brain stimulation;;3;01.01.2022;31.12.2022;;1;Uus kood AAW10;;;;;
3. tasand;AAU;Implantaatide ja väliste fiksatsiooniseadmete eemaldamine koljust;;;2;01.01.2003;;;1;;;;;;
kood;AAU00;Implantaadi ja välise fiksatsiooniseadme eemaldamine koljust;Removal of implant or external fixation device from skull;;3;01.01.2003;;;1;;;;;;
3. tasand;AAW;Teised operatsioonid koljul ja intrakraniaalsetel struktuuridel;;;2;01.01.2003;;;1;;;;;;
kood;AAW01;Intrakraniaalse stimulaatori paigaldamine;Implantation of intracranial stimulation device;;3;01.01.2003;;;1;;;;;;
kood;AAW02;Intrakraniaalse süstesüsteemi paigaldamine;Implantation of intracranial injection device;;3;01.01.2003;;;1;;;;;;
kood;AAW03;Lõgeme punktsioon;Puncture of fontanel;;3;01.01.2023;;;1;;;;;;
kood;AAW10;Aju süvastimulaatori paigaldamine või seadistamine;Adjustment or insertion of electronic stimulator for deep brain stimulation;;3;01.01.2023;;;1;;;;;;
kood;AAW99;Muu operatsioon koljul või intrakraniaalsel struktuuril;Other operation on skull or intracranial structure;;3;01.01.2003;;;1;;;;;;
kood;AAX00;Lõgeme punktsioon;Puncture of fontanel;;3;01.01.2022;31.12.2022;;1;Uus kood AAW03;;;;;
2. tasand;AB;Seljaaju ja närvijuured;;;1;01.01.2003;;;1;;;;;;
kood;AB4AT;Liikvori eemaldamine nahaaluse kateetriga;Catheterisation of cerebrospinal fluid through skin;;3;01.01.2022;31.12.2022;;1;Uus kood AAF13;;;;;
kood;AB4FT;Liikvorikateetri vahetus;Exchange of cerebrospinal catheter;;3;01.01.2022;31.12.2022;;1;Uus kood AAF14;;;;;
kood;AB5AT;Spinaalnärvi blokaad;Blockade of spinal nerv root;;3;01.01.2022;31.12.2022;;1;Uus kood WAA30;;;;;
3. tasand;ABA;Diagnostilised operatsioonid seljaajul ja närvijuurtel;;;2;01.01.2003;;;1;;;;;;
kood;ABA00;Eksploratiivne laminektoomia;Exploratory laminectomy;;3;01.01.2003;;;1;;;;;;
kood;ABA10;Spinaalkanali kahjustuskolde biopsia;Biopsy of lesion of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABA20;Intratekaalne endoskoopia;Intrathecal endoscopy;;3;01.01.2010;;;1;;;;;;
kood;ABA30;Epiduroskoopia;Epiduroscopy;;3;01.01.2010;;;1;;;;;;
kood;ABA99;Muu diagnostiline operatsioon seljaajul või närvijuurtel;Other diagnostic operation on spinal cord or nerve root;;3;01.01.2003;;;1;;;;;;
3. tasand;ABB;Operatsioonid seljaaju ja närvijuurte kahjustuste korral;;;2;01.01.2003;;;1;;;;;;
kood;ABB00;Spinaalkanali kahjustuskolde ekstsisioon;Excision of lesion of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABB02;Närvijuure kahjustuskolde ekstsisioon;Excision of lesion of nerve root;;3;01.01.2010;;;1;;;;;;
kood;ABB04;Närvijuure kahjustuskolde destruktsioon;Desctruction of lesion of nerve root;;3;01.01.2010;;;1;;;;;;
kood;ABB06;Närvijuure kahjustuskolde perkutaanne destruktsioon;Percutaneous destruction of lesion of nerve root;;3;01.01.2010;;;1;;;;;;
kood;ABB10;Spinaalkanali kahjustuskolde resektsioon;Resection of lesion of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABB20;Spinaalkanali intra- või ekstramedullaarse tsüsti dreenimine;Drainage of intra- or extramedullary cyst of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABB30;Spinaalkanali kahjustuskolde destruktsioon;Destruction of lesion of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABB40;Spinaalkanali spontaanse kahjustuskolde hematoomi evakuatsioon;Evacuation of spontaneous haematoma of spinal canal;;3;01.01.2003;;;1;;;;;;
kood;ABB99;Muu operatsioon seljaaju kahjustuse korral;Other operation for lesion of spinal canal;;3;01.01.2003;;;1;;;;;;
3. tasand;ABC;Seljaaju ja närvijuurte dekompressioon ;;;2;01.01.2003;;;1;;;;;;
kood;ABC01;Perkutaanne endoskoopiline diskektoomia tservikaalse intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for cervical intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC04;Perkutaanne endoskoopiline diskektoomia torakaalse intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for thoracic intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC07;Perkutaanne endoskoopiline diskektoomia lumbaalosa intervertebraalse diski väljasopistuse korral;Percutaneous endoscopic discectomy for lumbar intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC10;Mikrokirurgiline ekstsisioon tservikaalse intervertebraalse diski väljasopistuse korral;Microsurgical excision of cervical intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC13;Mikrokirurgiline ekstsisioon torakaalse intervertebraalse diski väljasopistuse korral;Microsurgical excision of thoracic intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC16;Mikrokirurgiline ekstsisioon lumbaalosa intervertebraalse diski väljasopistuse korral;Microsurgical excision of lumbar intervertebral disc displacement;;3;01.01.2003;;;1;;;;;;
kood;ABC17;Ekstraforaminaalse diski prolapsi eemaldamine;Removal of extraforaminal disc prolapse;;3;01.01.2020;;;1;;;;;;
kood;ABC20;Avatud diskektoomia lülisamba tservikaalosas;Open discectomy of cervical spine;;3;01.01.2003;;;1;;;;;;
kood;ABC21;Lülisamba kaelaosa eesmine dekompressioon koos lülikehadevahelise implantaadi paigaldamisega;Anterior decompression of cervical spine with insertion of interbody fixating implant;;3;01.01.2010;;;1;;;;;;
kood;ABC23;Avatud diskektoomia lülisamba torakaalosas;Open discectomy of thoracic spine;;3;01.01.2003;;;1;;;;;;
kood;ABC26;Avatud diskektoomia lülisamba lumbaalosas;Open discectomy of lumbar spine;;3;01.01.2003;;;1;;;;;;
kood;ABC28;Ogajätkete vahelise suureneva implantaadi paigaldamine;Insertion of expanding implant between spinous processes;;3;01.01.2010;;;1;;;;;;
kood;ABC30;Tservikaalosa närvijuurte dekompressioon;Decompression of cervical nerve roots;;3;01.01.2003;;;1;;;;;;
kood;ABC33;Torakaalosa närvijuurte dekompressioon;Decompression of thoracic nerve roots;;3;01.01.2003;;;1;;;;;;
kood;ABC36;Lumbaalosa närvijuurte dekompressioon;Decompression of lumbar nerve roots;;3;01.01.2003;;;1;;;;;;
kood;ABC40;Cauda equina dekompressioon;Decompression of cauda equina;;3;01.01.2003;;;1;;;;;;
kood;ABC50;Tservikaalosa spinaalkanali ja närvijuurte dekompressioon;Decompression of cervical spinal canal and nerve roots;;3;01.01.2003;;;1;;;;;;
kood;ABC53;Torakaalosa spinaalkanali ja närvijuurte dekompressioon;Decompression of thoracic spinal canal and nerve roots;;3;01.01.2003;;;1;;;;;;
