ebMEDsi loendis olev kood;RHK-10 eestikeelne nimetus
B23;Muude haigusseisunditena avalduv HIV-tõbi
B24;Täpsustamata HIV-tõbi
B25;Tsütomegaloviirushaigus
B26;Mumps
B38;Koktsidioidmükoos
B39;Histoplasmoos
B40;Blastomükoos
B41;Parakoktsidioidmükoos
B42;Sporotrihhoos
B43;Kromomükoos ja feomükootiline abstsess
B44;Aspergilloos
B45;Krüptokokoos
B46;Sügomükoos
B47;Mütsetoom
B48;Mujal klassifitseerimata muud mükoosid
B55;Leišmaniaas
B56;Aafrika trüpanosomiaas
B57;Chagasi tõbi
B58;Toksoplasmoos
B65;Skistosomiaas [bilhartsiaas]
B67;Ehhinokokoos
B69;Tsüstitserkoos
B73;Onkotsertsiaas
B74;Filariaas
B75;Trihhinelloos
B90;Tuberkuloosi jääknähud
B91;Poliomüeliidi jääknähud
B94;Muude ning täpsustamata nakkus- ja parasiithaiguste jääknähud
C00;Huule pahaloomuline kasvaja
C01;Keelepära pahaloomuline kasvaja
C02;Keele muude ja täpsustamata osade pahaloomuline kasvaja
C03;Igeme pahaloomuline kasvaja
C04;Suupõhja pahaloomuline kasvaja
C05;Suulae pahaloomuline kasvaja
C06;Suu muude ja täpsustamata osade pahaloomuline kasvaja
C07;Kõrvasüljenäärme pahaloomuline kasvaja
C08;Muude ja täpsustamata suurte süljenäärmete pahaloomuline kasvaja
C09;Mandli pahaloomuline kasvaja
C10;Suuneelu pahaloomuline kasvaja
C11;Ninaneelu pahaloomuline kasvaja
C12;Piriform- e pirnsopise pahaloomuline kasvaja
C13;Alaneelu pahaloomuline kasvaja
C14;Huule, suuõõne ja neelu muude ning ebaselgete paikmete pahaloomuline kasvaja
C15;Söögitoru pahaloomuline kasvaja
C16;Mao pahaloomuline kasvaja
C17;Peensoole pahaloomuline kasvaja
C18;Käärsoole pahaloomuline kasvaja
C19;Pärasoole ja sigmakäärsoole ühenduskoha pahaloomuline kasvaja
C20;Pärasoole pahaloomuline kasvaja
C21;Päraku ja pärakukanali pahaloomuline kasvaja
C22;Maksa ja maksasiseste sapijuhade pahaloomuline kasvaja
C23;Sapipõie pahaloomuline kasvaja
C24;Sapiteede muude ja täpsustamata osade pahaloomuline kasvaja
C25;Kõhunäärme pahaloomuline kasvaja
C26;Seedeelundite muude ja ebaselgete paikmete pahaloomuline kasvaja
C30;Ninaõõne ja keskkõrva pahaloomuline kasvaja
C31;Ninakõrvalurgete pahaloomuline kasvaja
C32;Kõri pahaloomuline kasvaja
C33;Hingetoru pahaloomuline kasvaja
C34;Bronhi ja kopsu pahaloomuline kasvaja
C37;Tüümuse e harkelundi pahaloomuline kasvaja
C38;Südame, keskseinandi ja kopsukelme pahaloomuline kasvaja
C39;Hingamiselundite ja rindkeresiseste elundite muude ning ebaselgete paikmete pahaloomuline kasvaja
C40;Jäsemete luude ja liigesekõhre pahaloomuline kasvaja
C41;Muude ja täpsustamata paikmete luude ning liigesekõhre pahaloomuline kasvaja
C43;Naha pahaloomuline melanoom
C44;Naha muud pahaloomulised kasvajad
C45;Mesotelioom
C46;Kaposi sarkoom
C47;Perifeersete närvide ja autonoomse närvisüsteemi pahaloomuline kasvaja
C48;Kõhukelmetaguse vahemiku ja kõhukelme pahaloomuline kasvaja
C49;Muu sidekoe ja pehmete kudede pahaloomuline kasvaja
C50;Rinna pahaloomuline kasvaja
C51;Häbeme pahaloomuline kasvaja
C52;Tupe pahaloomuline kasvaja
C53;Emakakaela pahaloomuline kasvaja
C54;Emakakeha pahaloomuline kasvaja
C55;Emaka täpsustamata osade pahaloomuline kasvaja
C56;Munasarja pahaloomuline kasvaja
C57;Muude ja täpsustamata naissuguelundite pahaloomuline kasvaja
C58;Platsenta e emakoogi pahaloomuline kasvaja
C60;Suguti pahaloomuline kasvaja
C61;Eesnäärme pahaloomuline kasvaja
C62;Munandi pahaloomuline kasvaja
C63;Muude ja täpsustamata meessuguelundite pahaloomuline kasvaja
C64;Neeru (v.a neeruvaagna) pahaloomuline kasvaja
C65;Neeruvaagna pahaloomuline kasvaja
C66;Kusejuha pahaloomuline kasvaja
C67;Kusepõie pahaloomuline kasvaja
C68;Muude ja täpsustamata kuseelundite pahaloomuline kasvaja
C69;Silma ja silmamanuste pahaloomuline kasvaja
C70;Ajukelmete pahaloomuline kasvaja
C71;Peaaju pahaloomuline kasvaja
C72;Seljaaju, kraniaalnärvide ja kesknärvisüsteemi muude osade pahaloomuline kasvaja
C73;Kilpnäärme pahaloomuline kasvaja
C74;Neerupealise pahaloomuline kasvaja
C75;Muude sisesekretsiooninäärmete ja nendesarnaste moodustiste pahaloomuline kasvaja
C76;Muude ja ebaselgete paikmete pahaloomuline kasvaja
C77;Lümfisõlmede metastaatiline ja täpsustamata pahaloomuline kasvaja
C78;Hingamis- ja seedeelundite metastaatiline pahaloomuline kasvaja
C79;Muude paikmete metastaatiline pahaloomuline kasvaja
C80;Täpsustamata paikme pahaloomuline kasvaja
C81;Hodgkini tõbi
C82;Follikulaarne [nodulaarne] mitte-Hodgkini tüüpi lümfoom
C83;Difuusne mitte-Hodgkini tüüpi lümfoom
C84;Perifeersed ja naha T-rakklümfoomid
C85;Muud ja täpsustamata mitte-Hodgkini tüüpi lümfoomid
C88;Pahaloomulised immunoproliferatiivsed haigused e immunoproliferatiivhaigused
C90;Hulgine müeloom e hulgimüeloom ja plasmarakulised pahaloomulised kasvajad
C91;Lümfoidne leukeemia e lümfoidleukeemia
C92;Müeloidne leukeemia e müeloidleukeemia
C93;Monotsüütne leukeemia e monotsüütleukeemia
C94;Täpsustatud rakutüüpi muud leukeemiad
C95;Täpsustamata rakutüüpi leukeemia
C96;Lümfoid- ja vereloomekoe ning nendesarnaste kudede muud ning täpsustamata pahaloomulised kasvajad
C97;Sõltumatute (primaarsete) hulgipaikmete pahaloomulised kasvajad
D00;Suuõõne, söögitoru ja mao kartsinoom in situ
D01;Muude ja täpsustamata seedeelundite kartsinoom in situ
D02;Keskkõrva ja hingamiselundite kartsinoom in situ
D03;Melanoom in situ
D04;Nahakartsinoom in situ
D05;Rinnakartsinoom in situ
D06;Emakakaelakartsinoom in situ
D07;Muude ja täpsustamata suguelundite kartsinoom in situ
D09;Muude ja täpsustamata paikmete kartsinoom in situ
D10;Suu ja neelu healoomuline kasvaja
D11;Suurte süljenäärmete healoomuline kasvaja
D12;Käärsoole, pärasoole, päraku ja pärakukanali healoomuline kasvaja
D13;Seedeelundite muude ja ebaselgete osade healoomuline kasvaja
D14;Keskkõrva ja hingamiselundite healoomuline kasvaja
D15;Muude ja täpsustamata rindkeresiseste elundite healoomuline kasvaja
D16;Luu ja liigesekõhre healoomuline kasvaja
D19;Mesoteelkoe healoomuline kasvaja
D20;Kõhukelmetaguse vahemiku pehmete kudede ja kõhukelme healoomuline kasvaja
D21;Sidekoe ja muude pehmete kudede muud healoomulised kasvajad
D24;Rinna healoomuline kasvaja
D25;Emaka leiomüoom
D26;Emaka muud healoomulised kasvajad
D27;Munasarja healoomuline kasvaja
D28;Muude ja täpsustamata naissuguelundite healoomuline kasvaja
D29;Meessuguelundite healoomuline kasvaja
D30;Kuseelundite healoomuline kasvaja
D31;Silma ja silmamanuste healoomuline kasvaja
D32;Ajukelmete healoomuline kasvaja
D33;Peaaju ja kesknärvisüsteemi muude osade healoomuline kasvaja
D34;Kilpnäärme healoomuline kasvaja
D35;Muude ja täpsustamata sisesekretsiooninäärmete healoomuline kasvaja
D36;Muude ja täpsustamata paikmete healoomuline kasvaja
D37;Suuõõne ja seedeelundite ebaselge või teadmata loomusega kasvaja
D38;Keskkõrva, hingamiselundite ja rindkeresiseste elundite ebaselge või teadmata loomusega kasvaja
D39;Naissuguelundite ebaselge või teadmata loomusega kasvaja
D40;Meessuguelundite ebaselge või teadmata loomusega kasvaja
D41;Kuseelundite ebaselge või teadmata loomusega kasvaja
D42;Ajukelmete ebaselge või teadmata loomusega kasvaja
D43;Peaaju ja kesknärvisüsteemi ebaselge või teadmata loomusega kasvaja
D44;Sisesekretsiooninäärmete ebaselge või teadmata loomusega kasvaja
D45;Tõeline polütsüteemia
D46;Müelodüsplastilised sündroomid
D47;Lümfoid- ja vereloomekoe ning nendesarnaste kudede muud ebaselge või teadmata loomusega kasvajad
D48;Muude ja täpsustamata paikmete ebaselge või teadmata loomusega kasvaja
D50;Rauavaegusaneemia
D51;B12-vitamiinivaegusaneemia
D52;Folaadivaegusaneemia
D53;Muud toitumisaneemiad
D55;Ensüümihäireaneemia
D56;Talasseemia
D57;Sirprakk-haigusseisundid
D58;Muud pärilikud hemolüütilised aneemiad
D59;Omandatud hemolüütiline aneemia
D60;Omandatud puhas punalibleaplaasia [erütroblastopeenia]
D61;Muud aplastilised aneemiad
D63;Aneemia mujal klassifitseeritud krooniliste haiguste korral
D64;Muud aneemiad
D65;Dissemineeritud intravaskulaarne e soontesisene verehüübimine [defibrinatsioonisündroom]
D66;VIII teguri pärilik vaegus
D67;IX teguri pärilik vaegus
D68;Muud koagulatsioonidefektid e hüübimispuuded
D69;Purpur ja muud hemorraagilised seisundid
D70;Agranulotsütoos
D71;Polümorftuumaste neutrofiilide talitlushäired
D72;Vere valgeliblede muud haigusseisundid
D73;Põrnahaigused
D74.0;Kaasasündinud methemoglobineemia
D75;Vere- ja vereloomeelundite muud haigused
D76;Lümforetikulaarkude ja retikulohistiotsüütsüsteemi haaravad teatavad haigused
D80;Peamiselt antikehapuuetega immuunpuudulikkus
D81;Kombineeritud immuunpuudulikkused
D82;Muude suuremate puuetega immuunpuudulikkus
D83;Üldine muutlik immuunpuudulikkus
D84;Muud immuunpuudulikkused
D86;Sarkoidoos
D89;Immuunmehhanisme haaravad muud mujal klassifitseerimata haigusseisundid
E00;Kaasasündinud joodivaegussündroom
E01;Joodivaegusega seotud kilpnäärme haigusseisundid ja nendetaolised seisundid
E03;Muu hüpotüreoos
E04;Muu mittetoksiline struuma e hõõtsik
E05;Tür[e]otoksikoos [hüpertüreoos]
E06;Tür[e]oidiit e kilpnäärmepõletik
E07;Kilpnäärme muud haigusseisundid
E10;Insuliinisõltuv suhkurtõbi
E11;Insuliinisõltumatu suhkurtõbi
E12;Väärtoitumussuhkurtõbi
E13;Muu täpsustatud suhkurtõbi
E14;Täpsustamata suhkurtõbi
E15;Mittediabeetiline hüpoglükeemiline kooma
E16.1;Muu hüpoglükeemia
E16.3;Glükagooni suurenenud sekretsioon
E16.8;Muud täpsustatud pankrease sisesekretsiooni häired
E16.9;Pankrease sisesekretsiooni täpsustamata häire
E20;Hüpoparatüreoos
E21;Hüperparatüreoos ja muud paratür[e]oidnäärme haigusseisundid
E22;Hüpofüüsi e ajuripatsi hüperfunktsioon e liigtalitlus
E23;Hüpofüüsi hüpofunktsioon e vaegtalitlus ja muud väärtalitlused
E24;Cushingi sündroom
E25;Adrenogenitaalsed häired
E26;Hüperaldosteronism
E27;Neerupealiste muud haigusseisundid
E28;Munasarjade düsfunktsioon e väärtalitlus
E29;Testikulaarne [munandite] düsfunktsioon e väärtalitlus
E30;Murdeea mujal klassifitseerimata haigusseisundid
E31;Polüglandulaarne düsfunktsioon e väärtalitlus
E32;Tüümuse- e harkelundihaigused
E34;Muud sisesekretsioonihäired
E35;Sisesekretsiooninäärmete haigusseisundid mujal klassifitseeritud haiguste korral
E40;Kvašiorkor
E42;Närtsimus-kvašiorkor
E43;Täpsustamata raske valgulis-energeetiline väärtoitumus
E44;Mõõdukas ja kergekujuline valgulis-energeetiline väärtoitumus
E45;Valgulis-energeetilise väärtoitumuse järgne arenguaeglustus
E46;Täpsustamata valgulis-energeetiline väärtoitumus
E50;A-vitamiinivaegus
E51;Tiamiinivaegus
E52;Niatsiinivaegus [pellagra]
E53;Muud B-rühma vitamiinivaegused
E54;Askorbiinhappevaegus
E55;D-vitamiinivaegus
E58;Toidukaltsiumivaegus
E63.0;Essentsiaalsete rasvhapete [EFA] vaegus
E63.8;Muud täpsustatud toiduvaegused
E63.9;Täpsustamata toiduvaegus
E64;Väärtoitumuse ja muu toitumusvaeguse jääknähud
E66;Rasvumus
E67.0;A-hüpervitaminoos
E67.3;D-hüpervitaminoos
E70;Aromaatsete aminohapete ainevahetushäired
E71;Külgahelatega aminohapete ja rasvhapete ainevahetushäired
E72;Aminohapete muud ainevahetushäired
E73;Laktoosi-intolerants e –talumatus
E74;Süsivesikute muud ainevahetushäired
E75;Sfingolipiidiainevahetuse ja muud lipiidisalvestuse häired
E76;Glükoosamiini-glükaaniainevahetuse häired
E77;Glükoproteiiniainevahetuse häired
E78;Lipoproteiiniainevahetuse häired ja muud lipideemiad
E79;Puriini- ja pürimidiiniainevahetuse häired
E80;Porfüriini- ja bilirubiiniainevahetuse häired
E83;Mineraaliainevahetuse häired
E84;Tsüstiline fibroos
E85;Amüloidoos
E87.8;Elektrolüütide ja vedeliku tasakaalu muud mujal klassifitseerimata häired
E88;Muud ainevahetushäired
E89;Mujal klassifitseerimata menetlusjärgsed sisesekretsiooni- ja ainevahetushäired
F00;Dementsus Alzheimeri tõvest
F01;Vaskulaarne dementsus
F02;Dementsus MK muudest haigustest
F03;Täpsustamata dementsus
F04;Orgaaniline amnestiline sündroom, v.a. alkoholist või psühhoaktiivsetest ainetest põhjustatud
F06;Muud psüühikahäired ajukahjustusest, -düsfunktsioonist või somaatilisest haigusest
F07;Isiksus- ja käitumishäired ajuhaigusest, -kahjustusest või -düsfunktsioonist
F09;Täpsustamata orgaaniline - k.a. sümptomaatiline - psüühikahäire
F10.02;Äge intoksikatsioon muu meditsiinilise tüsistusega
F10.03;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon deliiriumiga
F10.04;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon tajumishäiretega
F10.05;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon koomaga
F10.06;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon krampidega
F10.07;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon, patoloogiline intoksikatsioon
F10.1;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Kuritarvitamine
F10.2;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus
F10.20;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine
F10.21;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, kontrollitud keskkonnas
F10.23;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, ravi aversiivse või blokeeriva vahendiga
F10.24;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt tarvitab ainet
F10.25;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine pidev tarvitamine
F10.26;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine episoodiline tarvitamine
F10.3;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund
F10.30;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund tüsistusteta
F10.4;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga
F10.40;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga, krampideta
F10.41;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga, krampidega
F10.5;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire
F10.50;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, skisofreeniataoline
F10.51;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt luululine
F10.52;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt hallutsinatoorne
F10.53;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, polümorfne
F10.54;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt depressiivne
F10.55;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt maniakaalne
F10.56;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, segatüüpi
F10.6;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Amnestiline sündroom
F10.7;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire
F10.70;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, mälupetted
F10.72;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, residuaalne afektiivne häire
F10.73;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, dementsus
F10.74;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, muu püsiv tunnetuskahjustus
F10.75;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, hilise tekkega psühhoos
F10.8;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Muud psüühika- või käitumishäired
F10.9;Alkoholi tarvitamisest tingitud psüühika- ja käitumishäired. Täpsustamata psüühika- või käitumishäire
F11;Opioidide tarvitamisest tingitud psüühika- ja käitumis-häired
F12.03;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon deliiriumiga
F12.04;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon tajumishäiretega
F12.05;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon koomaga
F12.06;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon krampidega
F12.1;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Kuritarvitamine
F12.21;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, kontrollitud keskkonnas
F12.22;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt meditsiinilisel järelvalvel või asendusravil
F12.23;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, ravi aversiivse või blokeeriva vahendiga
F12.24;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt tarvitab ainet
F12.25;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine pidev tarvitamine
F12.26;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine episoodiline tarvitamine
F12.3;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund
F12.4;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga
F12.5;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire
F12.6;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Amnestiline sündroom
F12.7;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire
F12.8;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Muud psüühika- või käitumishäired
F12.9;Kannabinoidide tarvitamisest tingitud psüühika- ja käitumishäired. Täpsustamata psüühika- või käitumishäire
F13;Rahustite või uinutite tarvitamisest tingitud psüühika- ja käitumishäired
F14;Kokaiini tarvitamisest tingitud psüühika- ja käitumishäired
F15.1;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Kuritarvitamine
F15.2;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus
F15.3;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund
F15.4;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga
F15.5;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire
F15.6;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Amnestiline sündroom
F15.7;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire
F15.8;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Muud psüühika- või käitumishäired
F15.9;Muude stimulaatorite (k.a. kofeiin) tarvitamisest tingitud psüühika- ja käitumishäired. Täpsustamata psüühika- või käitumishäire
F16;Hallutsinogeenide tarvitamisest tingitud psüühika- ja käitumishäired
F17.1;Tubaka tarvitamisest tingitud psüühika- ja käitumishäired. Kuritarvitamine
F17.2;Tubaka tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus
F17.22;Tubaka tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus. käesolevalt meditsiinilisel järelvalvel või asendusravil
F18.0;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon
F18.01;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon trauma või muu kehavigastusega
F18.02;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon muu meditsiinilise tüsistusega
F18.03;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon deliiriumiga
F18.04;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon tajumishäiretega
F18.05;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon koomaga
F18.06;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Äge intoksikatsioon krampidega
F18.1;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Kuritarvitamine
F18.2;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus
F18.21;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, kontrollitud keskkonnas
F18.22;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt meditsiinilisel järelvalvel või asendusravil
F18.23;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt kaine, ravi aversiivse või blokeeriva vahendiga
F18.24;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, käesolevalt tarvitab ainet
F18.25;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine pidev tarvitamine
F18.26;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Sõltuvus, aine episoodiline tarvitamine
F18.3;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund
F18.31;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund. krampidega
F18.4;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga
F18.40;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga, krampideta
F18.41;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Võõrutusseisund deliiriumiga, krampidega
F18.5;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire
F18.50;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, skisofreeniataoline
F18.51;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt luululine
F18.52;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt hallutsinatoorne
F18.53;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, polümorfne
F18.54;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt depressiivne
F18.55;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, valdavalt maniakaalne
F18.56;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Psühhootiline häire, segatüüpi
F18.6;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Amnestiline sündroom
F18.7;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire
F18.70;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, mälupetted
F18.71;Lenduvate lahustite tarvitamisest tingitud psüühika- ja käitumishäired. Residuaalne või hiline psüühikahäire, isiksus- või käitumishäire
