Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Muutja;Staatus;Selgitus;Grupi kood;Grupp;
clinical_document;tervikdokument;tervikdokument;tervikdokument;0;0;07.09.2007;;19.12.2018;Gerli Kriiska;1;;2;dokument;
contraindication_immunity;vastunäidustus_elusvaktsiin immuundefitsiitsuse ja/või progresseeruva närvisüsteemi haigus;vastunäidustus_elusvaktsiin immuundefitsiitsuse ja/või progresseeruva närvisüsteemi haigus;vastunäidustus_elusvaktsiin immuundefitsiitsuse ja/või progresseeruva närvisüsteemi haigus;0;0;01.01.2013;;;;1;;1;väljavõte;
contraindication_nervousDisease;tervisekontrollikaardi immuniseerimise vastunäidustuse väljavõte;tervisekontrollikaardi immuniseerimise vastunäidustuse väljavõte;tervisekontrollikaardi immuniseerimise vastunäidustuse väljavõte;0;0;01.01.2013;;;;1;;1;väljavõte;
contraindication_pregnancy_obsolete;vastunäidustus_elusvaktsiin rasedale;vastunäidustus_elusvaktsiin rasedale päringu vastuses;vastunäidustus_elusvaktsiin rasedale päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
contraindication_reaction;vastunäidustus_raske reaktsioon eelmisele sama vaktsiini doosile;vastunäidustus_raske reaktsioon eelmisele sama vaktsiini doosile päringu vastuses;vastunäidustus_raske reaktsioon eelmisele sama vaktsiini doosile päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
demographics_query;üldandmete päring;üldandmete päring;üldandmete päring;0;0;30.06.2008;;;;1;;3;päringu logi;
demographics_update;üldandmete muutmine;üldandmete muutmine;üldandmete muutmine;0;0;30.06.2008;;;;1;;4;toimingu logi;
dentalcard;hambaravi kaart;hambaravi kaart;hambaravi kaart;0;0;26.01.2010;;;;1;;3;päringu logi;
development_assessment;arengu hindamine;arengu hindamine;arengu hindamine;0;0;01.01.2013;;;;1;;1;väljavõte;
diagnosis;diagnooside päring ;diagnooside päring ;diagnooside päring ;0;0;07.09.2007;;;;1;;3;päringu logi;
diagnosis;diagnoosid;diagnoosid;diagnoosid;0;0;07.09.2007;;;;1;;1;väljavõte;
direct_referral;Tervishoiuasutusse suunatud saatekirjade päring;Tervishoiuasutusse suunatud saatekirjade päring;Tervishoiuasutusse suunatud saatekirjade päring;0;0;28.10.2010;;19.12.2018;Gerli Kriiska;1;;3;päringu logi;
disability;puude ja töövõimetuse andmed;puude ja töövõimetuse andmed;puude ja töövõimetuse andmed;0;0;07.09.2007;;;;1;;1;väljavõte;
document_registration;dokumendi registreerimine;dokumendi registreerimine;dokumendi registreerimine;0;0;30.06.2008;;;;1;;4;toimingu logi;
document_update;dokumendi muutmine või tühistamine;dokumendi muutmine või tühistamine;dokumendi muutmine või tühistamine;0;0;30.06.2008;;;;1;;4;toimingu logi;
druglist;väljastatud ravimid viimase 3 kuu jooksul;väljastatud ravimid viimase 3 kuu jooksul;väljastatud ravimid viimase 3 kuu jooksul;0;0;07.09.2007;;;;1;;1;väljavõte;
ebmeds;EBMeDS otsustustoe päring;EBMeDS otsustustoe päring;EBMeDS otsustustoe päring;0;0;17.03.2010;;;;1;;3;päringu logi;
encounters;visiitide ja hospitaliseerimiste päring;visiitide ja hospitaliseerimiste päring;visiitide ja hospitaliseerimiste päring;0;0;07.09.2007;;;;1;;3;päringu logi;
encounters;visiidid ja hospitaliseerimised;visiidid ja hospitaliseerimised;visiidid ja hospitaliseerimised;0;0;07.09.2007;;;;1;;1;väljavõte;
examination;läbivaatus (lapse tervisekontrolli läbivaatuse teatisest);läbivaatus (lapse tervisekontrolli läbivaatuse teatisest);läbivaatus (lapse tervisekontrolli läbivaatuse teatisest);0;0;01.01.2013;;;;1;;1;väljavõte;
family;pereolukord;pereolukord;pereolukord;0;0;01.01.2013;;;;1;;1;väljavõte;
growth_bmi;kasvamise KMI;kasvamise KMI;kasvamise KMI;0;0;01.01.2013;;;;1;;1;väljavõte;
growth_fontanel;kasvamise lõgeme mõõdud;kasvamise lõgeme mõõdud;kasvamise lõgeme mõõdud;0;0;01.01.2013;;;;1;;1;väljavõte;
growth_head;kasvamise peaümbermõõt;kasvamise peaümbermõõt;kasvamise peaümbermõõt;0;0;01.01.2013;;;;1;;1;väljavõte;
growth_height;kasvamise pikkus;kasvamise pikkus;kasvamise pikkus;0;0;01.01.2013;;;;1;;1;väljavõte;
growth_weight;kasvamise kaal;kasvamise kaal;kasvamise kaal;0;0;01.01.2013;;;;1;;1;väljavõte;
guidance;tervisekontrollikaardi nõustamise väljavõte;tervisekontrollikaardi nõustamise väljavõte;tervisekontrollikaardi nõustamise väljavõte;0;0;01.01.2013;;;;1;;1;väljavõte;
habits;harjumused;harjumused;harjumused;0;0;01.01.2013;;;;1;;1;väljavõte;
healthcard;tervisekontrolli kaart;tervisekontrolli kaart;tervisekontrolli kaart;0;0;07.09.2007;;;;1;;3;päringu logi;
hospitalization_v1;hospitaliseerimine_v1 päringu vastuses;hospitaliseerimine_v1 päringu vastuses;hospitaliseerimine_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
ia_access_request;ülesvõtte juurdepääsu päring;ülesvõtte juurdepääsu päring;ülesvõtte juurdepääsu päring;0;0;07.04.2014;;;;1;;3;päringu logi;
ia_list_query;ülesvõtete nimekirja päring;ülesvõtete nimekirja päring;ülesvõtete nimekirja päring;0;0;07.04.2014;;;;1;;3;päringu logi;
immunization;imuuniseerimine;imuuniseerimine;imuuniseerimine;0;0;01.01.2013;;;;1;;1;väljavõte;
immunization_sideeffect;immuniseerimise kõrvalnäht;immuniseerimise kõrvalnäht;immuniseerimise kõrvalnäht;0;0;01.01.2013;;;;1;;1;väljavõte;
important_procedures;olulisemad kirurgilised protseduurid;olulisemad kirurgilised protseduurid;olulisemad kirurgilised protseduurid;0;0;07.09.2007;;;;1;;1;väljavõte;
jobCode_v1;töökoha kood_v1 päringu vastuses;töökoha kood_v1 päringu vastuses;töökoha kood_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
last_procedures;kirurgilised protseduurid (operatsioonid) viimase kuu jooksul;kirurgilised protseduurid (operatsioonid) viimase kuu jooksul;kirurgilised protseduurid (operatsioonid) viimase kuu jooksul;0;0;07.09.2007;;;;1;;1;väljavõte;
last_visit;viimane visiit või hospitaliseerimine;viimane visiit või hospitaliseerimine;viimane visiit või hospitaliseerimine;0;0;07.09.2007;;;;1;;1;väljavõte;
mask_registration_N_A;juurdepääsu avamine arstidele;juurdepääsu avamine arstidele;juurdepääsu avamine arstidele;0;0;30.06.2008;;;;1;;4;toimingu logi;
mask_registration_N_E;juurdepääsu avamine esindajatele;juurdepääsu avamine esindajatele;juurdepääsu avamine esindajatele;0;0;30.06.2008;;;;1;;4;toimingu logi;
mask_registration_V_A;juurdepääsu sulgemine arstidele;juurdepääsu sulgemine arstidele;juurdepääsu sulgemine arstidele;0;0;30.06.2008;;;;1;;4;toimingu logi;
mask_registration_V_E;juurdepääsu sulgemine esindajatele;juurdepääsu sulgemine esindajatele;juurdepääsu sulgemine esindajatele;0;0;30.06.2008;;;;1;;4;toimingu logi;
medical_certificate;tervisetõendi päring;tervisetõendi päring;tervisetõendi päring;0;0;12.06.2012;;;;1;;3;päringu logi;
medical_certificate;tervisetõend;tervisetõend;tervisetõend;0;0;12.06.2012;;;;1;;2;dokument;
medical_certificate_decision;tervisetõendi otsus;tervisetõendi otsus;tervisetõendi otsus;0;0;12.06.2012;;;;1;;2;dokument;
medical_certificate_pdf;tervisetõendi päring pdf formaadis;tervisetõendi päring pdf formaadis;tervisetõendi päring pdf formaadis;0;0;12.06.2012;;;;1;;3;päringu logi;
medical_certificate_request;tervisetõendi päring;tervisetõendi päring;MNT tervisetõendi päring;0;0;12.06.2012;;;;1;;3;päringu logi;
medical_certificate_update_request ;tervisetõendi muudatuste päring;tervisetõendi muudatuste päring;MNT tervisetõendi muudatuste päring;0;0;12.06.2012;;;;1;;3;päringu logi;
medical_device;meditsiiniseadme kaart;meditsiiniseadme kaart;meditsiiniseadme kaart;0;0;18.01.2013;;;;1;;1;väljavõte;
nakis_notification;nakkushaiguste infosüsteemi teavitus;nakkushaiguste infosüsteemi teavitus;nakkushaiguste infosüsteemi teavitus;0;0;01.01.2015;;;;1;;3;päringu logi;
observation_v1;uuringud (uuringud, mis võetakse „PROC“ ) päringu vastuses;uuringud (uuringud, mis võetakse „PROC“ ) päringu vastuses;uuringud (uuringud, mis võetakse „PROC“ ) päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
orthodonticcard;ortodontia kaart;ortodontia kaart;ortodontia kaart;0;0;26.10.2009;;;;1;;3;päringu logi;
other_info;muu oluline info;muu oluline info;muu oluline info;0;0;07.09.2007;;;;1;;1;väljavõte;
patient_consent_request;isikuandmete töötlemise nõusoleku päring;isikuandmete töötlemise nõusoleku päring;isikuandmete töötlemise nõusoleku päring;0;0;15.02.2013;;;;1;;3;päringu logi;
patient_document;dokumendi päring;dokumendi päring;dokumendi päring;0;0;07.09.2007;;;;1;;3;päringu logi;
patient_document;dokumendid;dokumendid;mitte-meditsiinilised dokumendid (patsiendi tahteavaldused, koondstatistika teatised);0;0;07.09.2007;;;;1;;2;dokument;
patient_statement;patsiendi tervisedeklaratsiooni päring;patsiendi tervisedeklaratsiooni päring;patsiendi tervisedeklaratsiooni päring;0;0;12.06.2012;;;;1;;3;päringu logi;
patient_statement;patsiendi tervisedeklaratsioon;patsiendi tervisedeklaratsioon;patsiendi tervisedeklaratsioon;0;0;12.06.2012;;;;1;;2;dokument;
personal_relation_query;seotud isikute päring;seotud isikute päring;seotud isikute päring;0;0;30.06.2008;;;;1;;3;päringu logi;
pregnancycard;rasedakaart;rasedakaart;rasedakaart;0;0;25.03.2009;;;;1;;2;dokument;
procedures;uuringute, analüüside, operatsioonide ja protseduuride päring;uuringute, analüüside, operatsioonide ja protseduuride päring;uuringute, analüüside, operatsioonide ja protseduuride päring;0;0;07.09.2007;;;;1;;3;päringu logi;
procedures;uuringud, analüüsid, operatsioonid ja protseduurid;uuringud, analüüsid, operatsioonid ja protseduurid;uuringud, analüüsid, operatsioonid ja protseduurid;0;0;07.09.2007;;;;1;;1;väljavõte;
PS;patient sunmmary päringu vastuses;patient sunmmary päringu vastuses;patient sunmmary päringu vastuses;0;0;01.01.2013;;;;1;;3;päringu logi;
psychic_development;psüühiline areng;psüühiline areng;psüühiline areng;0;0;01.01.2013;;;;1;;1;väljavõte;
psychosocial_background;psühhosotsiaalne taust;psühhosotsiaalne taust;psühhosotsiaalne taust;0;0;01.01.2013;;;;1;;1;väljavõte;
query;päringud;päringud;päringud;0;0;07.09.2007;;;;1;;3;päringu logi;
query_parameters;TSK päringu tingimused;TSK päringu tingimused;TSK päringu tingimused;0;0;28.02.2014;;;;1;;1;väljavõte;
receipe_purchase_right;retsepti ostuõiguse päring;retsepti ostuõiguse päring;retsepti ostuõiguse päring;0;0;30.06.2008;;;;1;;3;päringu logi;
recipes;retseptide päring;retseptide päring;retseptide päring;0;0;07.09.2007;;;;1;;3;päringu logi;
recipes;retseptid;retseptid;retseptid;0;0;07.09.2007;;;;1;;1;väljavõte;
sickNote_v1;haiguslehe ja põhidiagnoosi väljavõte;haiguslehe ja põhidiagnoosi väljavõte;haiguslehe ja põhidiagnoosi väljavõte;0;0;25.10.2011;;;;1;;1;väljavõte;
ska_diagnosis;diagnooside päring ekspertarstilt;diagnooside päring ekspertarstilt;diagnooside päring ekspertarstilt;0;0;06.02.2012;;;;1;;3;päringu logi;
ska_f_diagnosis;f diagnooside päring juhtumikorraldajalt;f diagnooside päring juhtumikorraldajalt;f diagnooside päring juhtumikorraldajalt;0;0;07.02.2019;;;;1;;3;päringu logi;
ska_specialist;terviseandmete päring ekspertiisispetsialistilt;terviseandmete päring ekspertiisispetsialistilt;terviseandmete päring ekspertiisispetsialistilt;0;0;25.10.2011;;;;1;;3;päringu logi;
statistics_document;statistika koondteatis;statistika koondteatis;statistika koondteatis;0;0;01.01.2013;;;;1;;2;dokument;
surgery_v1;operatsioon_v1 päringu vastuses;operatsioon_v1 päringu vastuses;operatsioon_v1 päringu vastuses;0;0;01.01.2013;;;;1;;1;väljavõte;
teethstatuscard;hamba staatuste kaardi päring;hamba staatuste kaardi päring;hamba staatuste kaardi päring;0;0;26.10.2009;;;;1;;3;päringu logi;
timeCritical;aegkriitilised andmed;aegkriitilised andmed;aegkriitilised andmed;0;0;07.09.2007;;;;1;;2;dokument;
time_critical;aegkriitiliste andmete päring;aegkriitiliste andmete päring;aegkriitiliste andmete päring;0;0;07.09.2007;;;;1;;3;päringu logi;
tsk;TSK;TSK;TSK;0;0;25.10.2011;;;;1;;2;dokument;
tsk;TSK päring;TSK päring;TSK päring;0;0;25.10.2011;;;;1;;3;päringu logi;
tuberculosis_mantoux;tervisekontrollikaardi tuberkuliin/mantoux testi väljavõte;tervisekontrollikaardi tuberkuliin/mantoux testi väljavõte;tervisekontrollikaardi tuberkuliin/mantoux testi väljavõte;0;0;01.01.2013;;;;1;;1;väljavõte;
willhealthcare;tervishoiuteenuse tahteavalduse päring;tervishoiuteenuse tahteavalduse päring;tervishoiuteenuse tahteavalduse päring;0;0;14.12.2012;;;;1;;3;päringu logi;
willhealthcare;tervishoiuteenuse tahteavalduse väljavõte;tervishoiuteenuse tahteavalduse väljavõte;tervishoiuteenuse tahteavalduse metaandmed koos otsusega;0;0;14.12.2012;;;;1;;2;dokument;
workEnv_v1;töökorralduse muutmise väljavõte;töökorralduse muutmise väljavõte;töökorralduse muutmise väljavõte;0;0;25.10.2011;;;;1;;1;väljavõte;
vsr_query;vähi sõeluuringute registri päring;vähi sõeluuringute registri päring;vähi sõeluuringute registri päring;0;0;15.08.2013;;;;1;;3;päringu logi;
imm_summary;Immuniseerimispassi päring;Immuniseerimispassi päring;Immuniseerimispassi päring;0;0;01.07.2016;;;;1;;3;päringu logi;
bulk_documents_query;pere- ja eriarstide saatekirja vastuste päring;pere- ja eriarstide saatekirja vastuste päring;pere- ja eriarstide saatekirja vastuste päring;0;0;01.11.2016;;;;1;;3;päringu logi;
bulk_healthDeclarationFact_query;Tervisedeklaratsiooni olemasolu päring Kaitseministeeriumi asutuselt;Tervisedeklaratsiooni olemasolu päring Kaitseministeeriumi asutuselt;Tervisedeklaratsiooni olemasolu päring Kaitseministeeriumi asutuselt;0;0;01.01.2017;;;;1;;3;päringu logi;
bulk_ExclusionaryDiagnosisFact_query;Välistavate diagnooside olemasolu päring Kaitseministeeriumi asutuselt;Välistavate diagnooside olemasolu päring Kaitseministeeriumi asutuselt;Välistavate diagnooside olemasolu päring Kaitseministeeriumi asutuselt;0;0;01.01.2017;;;;1;;3;päringu logi;
bulk_consentFact_query;Isikuandmete töötlemise nõusoleku päring;Isikuandmete töötlemise nõusoleku päring;Isikuandmete töötlemise nõusoleku päring;0;0;01.01.2017;;;;1;;3;päringu logi;
TSK_KM_1;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks;0;0;01.01.2017;;;;1;;2;dokument;
TSK_KM_1;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks päring;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks päring;TSK kaitseväeteenistuskohustuslase või tegevväelase tervisenõuetele vastavuse hindamiseks päring;0;0;01.01.2017;;;;1;;3;päringu logi;
TSK_KM_2;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks;0;0;01.01.2017;;;;1;;2;dokument;
TSK_KM_2;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks päring;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks päring;TSK teenistusülesannete täitmise ja tervisekahjustuse tekkimise vahelise meditsiinilise seose tuvastamiseks päring;0;0;01.01.2017;;;;1;;3;päringu logi;
TSK_KM_3;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks;0;0;01.01.2017;;;;1;;2;dokument;
TSK_KM_3;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks päring;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks päring;TSK teenistusülesannete täitmise tõttu tekkinud tervisekahjustusest põhjustatud püsiva töövõimetuse tuvastamiseks päring;0;0;01.01.2017;;;;1;;3;päringu logi;
unvalid_documents_query;Vigaste dokumentide nimekirja päring;Vigaste dokumentide nimekirja päring;Vigaste dokumentide nimekirja päring;0;0;03.01.2017;;;;1;;3;päringu logi;
death_fact_query;SPR surma fakti muudatuste päring;SPR surma fakti muudatuste päring;Surma põhjuste registri surma fakti muudatuste päring;0;0;12.12.2017;;;;1;;3;päringu logi;
death_cause_query;SPR surma põhjuse muudatuste päring;SPR surma põhjuse muudatuste päring;Surma põhjuste registri surma põhjuse muudatuste päring;0;0;12.12.2017;;;;1;;3;päringu logi;
death_certificate_query;surmatõendi päring;surmatõendi päring;surmatõendi päring;0;0;12.12.2017;;;;1;;3;päringu logi;
death_certificate_pdf ;surmatõendi pdf;surmatõendi pdf;surmatõendi pdf;0;0;12.12.2017;;;;1;;2;dokument;
death_fact_inserted;surma fakti lisamine;surma fakti lisamine;surma fakti lisamine;0;0;12.12.2017;;;;1;;4;toimingu logi;
death_fact_updated;surma fakti muutmine;surma fakti muutmine;surma fakti muutmine;0;0;12.12.2017;;;;1;;4;toimingu logi;
death_fact_nullified;surma fakti tühistamine;surma fakti tühistamine;surma fakti tühistamine;0;0;12.12.2017;;;;1;;4;toimingu logi;
duplicated_person;dubleerivate isikute sidumine;dubleerivate isikute sidumine;dubleerivate isikute sidumine;0;0;12.12.2017;;;;1;;4;toimingu logi;
death_cause_inserted;surma põhjuse lisamine;surma põhjuse lisamine;surma põhjuse lisamine;0;0;12.12.2017;;;;1;;4;toimingu logi;
death_cause_updated;surma põhjuse muutmine;surma põhjuse muutmine;surma põhjuse muutmine;0;0;12.12.2017;;;;1;;4;toimingu logi;
death_cause_nullified;surma põhjuse tühistamine;surma põhjuse tühistamine;surma põhjuse tühistamine;0;0;12.12.2017;;;;1;;4;toimingu logi;
combining_duplicates;isikukoodide duplikaatide ühendamine;isikukoodide duplikaatide ühendamine;isikukoodide duplikaatide ühendamine;0;0;28.12.2017;28.12.2017;;Taavi Tasuja;0;Viit ei läinud arenduse käigus kasutusse.;;;
appointment_query;Broneeringute päring;Patsiendi broneeringute päring;Patsiendi broneeringute päring;0;0;18.10.2018;;;;1;;3;päringu logi;
appointment_new_request;Uue broneeringu nõue;Uue broneeringu nõue;Uue broneeringu nõue;0;0;18.10.2018;;;;1;;4;toimingu logi;
appointment_nullified_request;Broneeringu tühistamise nõue;Broneeringu tühistamise nõue;Broneeringu tühistamise nõue;0;0;18.10.2018;;;;1;;4;toimingu logi;
feedback;tagasiside;tagasiside;tagasiside;0;0;13.11.2018;;;;1;;2;dokument;
appointment_new_notice;Broneeringu teade;Broneeringu teade;Broneeringu teade;0;0;21.11.2018;;;;1;;4;toimingu logi;
referral_list_query;Saatekirjade nimekirja päring;Saatekirjade nimekirja päring;Saatekirjade nimekirja päring;0;0;23.11.2018;;;;1;;3;päringu logi;
appointment_nullified_notice;Broneeringu tühistamise teade;Broneeringu tühistamise teade;Broneeringu tühistamise teade;0;0;21.11.2018;;;;1;;4;toimingu logi;
appointment;broneering;broneering;broneering;0;0;19.12.2018;;;;1;;2;dokument;
encounter;visiit;visiit;visiit;0;0;19.12.2018;;;;1;;2;dokument;
case;haigusjuhtum;haigusjuhtum;haigusjuhtum;0;0;19.12.2018;;;;1;;2;dokument;
referral_acts_query;saatekirjaga seotud toimingute päring;saatekirjaga seotud toimingute päring;saatekirjaga seotud toimingute päring;0;0;19.12.2018;;;;1;;3;päringu logi;
free_slot_query;vabade aegade päring;vabade aegade päring;vabade aegade päring;0;0;28.02.2019;;;;1;;3;päringu logi;
linking_duplicates;isikukoodide duplikaatide ühendamine;isikukoodide duplikaatide ühendamine;isikukoodide duplikaatide ühendamine;0;0;28.12.2017;;;;1;;4;toimingu logi;
tsk_t_query;TSK tervishoiutöötajale päring;TSK tervishoiutöötajale päring;TSK tervishoiutöötajale päring;0;0;11.03.2019;;;;1;;3;päringu logi;
tsk_t ;TSK tervishoiutöötajale;TSK tervishoiutöötajale;TSK tervishoiutöötajale;0;0;11.03.2019;;;;1;;2;dokument;
appointment_payment_query;Broneeringu makse sõnumi vahendamine;Broneeringu makse sõnumi vahendamine;Broneeringu makse sõnumi vahendamine;0;0;29.03.2019;;;;1;;3;päringu logi;
last_visits_query;Arsti külastuste päring;Arsti külastuste päring;Arsti külastuste päring;0;0;10.12.2019;;;;1;;3;päringu logi;
krit_cases_query;Kriisiolukorras haigusjuhtumite päring;Kriisiolukorras haigusjuhtumite päring;Kriisiolukorras haigusjuhtumite päring;0;0;26.02.2020;;;;1;;3;päringu logi;
nakis_document_forward;Dokumendi edastamine Nakkushaiguste infosüsteemi;Dokumendi edastamine Nakkushaiguste infosüsteemi;Dokumendi edastamine Nakkushaiguste infosüsteemi;0;0;08.04.2020;;;;1;;3;päringu logi;
nakis_document_nullified_forward;Dokumendi tühistamise info edastamine Nakkushaiguste infosüsteemi;Dokumendi tühistamise info edastamine Nakkushaiguste infosüsteemi;Dokumendi tühistamise info edastamine Nakkushaiguste infosüsteemi;0;0;08.04.2020;;;;1;;3;päringu logi;
covid19_query;COVID-19 analüüsitulemuste päring;COVID-19 analüüsitulemuste päring;COVID-19 analüüsitulemuste päring;0;0;15.05.2020;;;;1;;3;päringu logi;
findusage_query;andmejälgija päring;andmejälgija päring;andmejälgija päring;0;0;19.10.2018;;;;1;;3;päringu logi;
paimmu;Perearsti nimistupõhine immuniseerimispäring;Nimistupõhine immuniseerimispäring;Nimistupõhine immuniseerimispäring;0;0;01.04.2021;;;;1;;3;päringu logi;
vaccine_sert;Vaktsineerimise vastavustõendi andmed;Vaktsineerimise vastavustõend;Vaktsineerimise vastavustõend;0;0;18.04.2021;;;;1;;3;päringu logi;
get_vaccine_cert;COVID-19 tõendi vaatamine;COVID-19 tõendi vaatamine;COVID-19 tõendi vaatamine;0;0;01.04.2021;;;;1;;3;päringu logi;
get_vaccine_cert_list;COVID-19 tõendite nimekirja päring;COVID-19 tõendite nimekirja päring;COVID-19 tõendite nimekirja päring;0;0;01.04.2021;;;;1;;3;päringu logi;
delete_vaccine_cert_certvac;Vaktsineerimise sertifikaadi kustutamine;Vaktsineerimise sertifikaadi kustutamine;Vaktsineerimise sertifikaadi kustutamine;0;0;01.04.2021;;;;1;;3;päringu logi;
delete_vaccine_cert_dccvac;EL COVID immuniseerimise tõendi kustutamine;EL COVID immuniseerimise tõendi kustutamine;EL COVID immuniseerimise tõendi kustutamine;0;0;01.04.2021;;;;1;;3;päringu logi;
delete_vaccine_cert_dccneg;EL COVID testitulemuse tõendi kustutamine;EL COVID testitulemuse tõendi kustutamine;EL COVID testitulemuse tõendi kustutamine;0;0;01.04.2021;;;;1;;3;päringu logi;
delete_vaccine_cert_dccrec;EL COVID läbipõdemise tõendi kustutamine;EL COVID läbipõdemise tõendi kustutamine;EL COVID läbipõdemise tõendi kustutamine;0;0;01.04.2021;;;;1;;3;päringu logi;
